Attack Type,Attack,Host,Run,Mode,CPU Usage (%),CPU Temperature (°C),Power (W),Memory Usage (%),Voltage (V),Voltage Adjusted (V),Current (A),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),GPU Power (W),CPU Usage User (%),CPU Usage System (%),CPU Usage Wait (%),Processes Runnable,Processes Blocked,Process Switches,Process Forks,Process Execs,Network lo Received (Ko/s),Network eth0 Received (Ko/s),Network wlan0 Received (Ko/s),Network lo Sent (Ko/s),Network eth0 Sent (Ko/s),Network wlan0 Sent (Ko/s),Network Packet lo Received,Network Packet eth0 Received,Network Packet wlan0 Received,Network Packet lo Sent,Network Packet eth0 Sent,Network Packet wlan0 Sent,Disk mmcblk0 Usage (%),Disk mmcblk0p1 Usage (%),Disk mmcblk0p2 Usage (%),Disk mmcblk0 Read (Ko/s),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk0 Block Size (Ko),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0 Transfers,Disk mmcblk0p1 Transfers,Disk mmcblk0p2 Transfers,JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),JFS boot/firmware Usage (%),Memory Active (%),Memory Buffers (%),Memory Cached (%),Memory Inactive (%),Disk mmcblk1 Usage (%),Disk mmcblk1p1 Usage (%),Disk mmcblk1p2 Usage (%),Disk mmcblk1 Read (Ko/s),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1 Transfers,Disk mmcblk1p1 Transfers,Disk mmcblk1p2 Transfers,Network (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Files,Encrypted Disk Usage (%),Encrypted Files Size (Mo),Encryption Speed (o/s)
Cryptojacking,CoinIMP (CPU) (10%),ASUS Zenbook UX51VZ,1,Attack,,61.22,,,,,,60.28,60.21,58.16,59.91,8.47,5.58,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (10%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,1,Attack,,79.57,,,,,,77.77,79.45,78.74,77.31,17.7,13.68,0.01,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Attack,100.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Idle,12.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Attack,39.4,65.26,62.99,54.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,5.08,41.4,19.02,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_browser_open,4.18,42.44,18.66,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,5.95,39.54,,45.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
