Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%)
08:00:01.000,59.0,77.0,53.0,58.0,77.0,22.9,18.2,0.0,7.8,56.7,0.0,0.0,2.4
08:00:03.000,49.0,50.0,49.0,48.0,56.0,15.9,12.0,0.0,5.6,56.7,0.0,0.0,2.4
08:00:05.000,49.0,64.0,49.0,52.0,62.0,16.2,12.2,0.0,5.7,56.7,0.0,0.0,2.4
08:00:07.000,49.0,51.0,49.0,57.0,57.0,15.1,11.4,0.0,5.9,56.7,0.0,0.0,2.4
08:00:09.000,48.0,50.0,49.0,48.0,55.0,14.4,10.4,0.1,6.4,56.7,0.0,0.0,2.4
08:00:11.000,53.0,64.0,52.0,54.0,64.0,16.5,12.4,0.0,5.6,56.7,0.0,0.0,2.4
08:00:13.000,49.0,50.0,49.0,50.0,55.0,15.1,11.2,0.0,6.2,56.7,0.0,0.0,2.4
08:00:15.000,49.0,50.0,50.0,50.0,56.0,15.9,12.0,0.0,6.0,56.7,0.0,0.0,2.4
08:00:17.000,49.0,49.0,49.0,49.0,55.0,14.4,10.6,0.0,5.9,56.7,0.0,0.0,2.4
08:00:19.000,51.0,50.0,51.0,50.0,56.0,15.0,11.0,0.0,6.5,56.7,0.0,0.0,2.4
08:00:21.000,49.0,51.0,50.0,51.0,57.0,16.1,12.1,0.1,5.7,56.7,0.0,0.0,2.4
08:00:23.000,49.0,51.0,49.0,48.0,55.0,8.8,4.7,0.1,2.4,56.6,0.0,0.0,2.4
08:00:25.000,49.0,51.0,51.0,50.0,62.0,16.4,12.5,0.0,5.1,56.7,0.0,0.0,2.4
08:00:27.000,53.0,51.0,50.0,49.0,55.0,14.3,10.5,0.0,6.0,56.6,0.0,0.0,2.4
08:00:29.000,49.0,50.0,49.0,48.0,55.0,14.7,10.8,0.1,5.4,56.6,0.0,0.0,2.4
08:00:31.000,47.0,50.0,48.0,50.0,55.0,15.4,11.6,0.0,6.1,56.6,0.0,0.0,2.4
08:00:33.000,48.0,50.0,48.0,50.0,55.0,15.2,11.3,0.0,5.8,56.7,0.0,0.0,2.4
08:00:35.000,49.0,51.0,49.0,50.0,55.0,15.2,11.4,0.1,6.1,56.6,0.0,0.0,2.4
08:00:37.000,48.0,51.0,49.0,50.0,55.0,15.5,11.6,0.0,5.7,56.6,0.0,0.0,2.4
08:00:39.000,48.0,50.0,49.0,49.0,55.0,16.2,12.3,0.1,5.2,56.6,54.0,0.0,2.4
08:00:41.000,51.0,52.0,60.0,49.0,56.0,15.8,11.9,0.0,5.2,56.6,0.0,0.0,2.4
08:00:43.000,49.0,50.0,50.0,50.0,61.0,15.5,11.7,0.0,6.7,56.6,0.0,0.0,2.4
08:00:45.000,47.0,50.0,52.0,50.0,60.0,15.1,11.3,0.0,6.2,56.7,0.0,0.0,2.4
08:00:48.000,48.0,51.0,50.0,48.0,60.0,16.6,12.8,0.0,5.7,56.6,0.0,0.0,2.4
08:00:50.000,61.0,58.0,49.0,51.0,58.0,13.8,9.8,0.0,6.8,56.5,0.0,0.0,2.4
08:00:52.000,50.0,50.0,50.0,49.0,56.0,16.0,12.2,0.0,6.4,56.5,0.0,0.0,2.4
08:00:54.000,49.0,50.0,48.0,62.0,62.0,15.1,11.3,0.0,6.1,56.5,0.0,0.0,2.4
08:00:56.000,55.0,52.0,50.0,50.0,58.0,15.3,11.1,0.0,7.2,56.5,0.0,0.0,2.4
08:00:58.000,49.0,51.0,50.0,48.0,62.0,16.2,12.2,0.1,5.6,56.4,0.0,0.0,2.4
08:01:00.000,51.0,58.0,49.0,51.0,58.0,15.3,11.3,0.0,7.1,56.3,0.0,0.0,2.4
08:01:02.000,62.0,50.0,53.0,49.0,62.0,15.1,11.3,0.0,5.9,56.3,0.0,0.0,2.4
08:01:04.000,58.0,51.0,50.0,50.0,58.0,15.4,11.7,0.1,5.9,56.3,0.0,0.0,2.4
08:01:06.000,47.0,55.0,49.0,60.0,60.0,16.0,11.9,0.1,5.9,56.3,0.0,0.0,2.4
08:01:08.000,56.0,52.0,50.0,52.0,56.0,14.8,11.0,0.0,5.7,56.3,0.0,0.0,2.4
08:01:10.000,62.0,51.0,53.0,50.0,59.0,14.5,10.4,0.1,6.1,56.3,0.0,0.0,2.4
08:01:12.000,62.0,51.0,53.0,50.0,61.0,15.3,11.3,0.0,5.9,56.2,0.0,0.0,2.4
08:01:14.000,61.0,51.0,53.0,49.0,60.0,15.2,11.3,0.0,5.9,56.3,0.0,0.0,2.4
08:01:16.000,49.0,50.0,51.0,49.0,55.0,15.9,12.0,0.0,8.3,56.3,0.0,0.0,2.4
08:01:18.000,58.0,51.0,53.0,50.0,58.0,14.6,10.7,0.1,6.1,56.3,0.0,0.0,2.4
08:01:20.000,50.0,58.0,49.0,52.0,60.0,14.6,10.6,0.0,6.9,56.4,0.0,0.0,2.4
08:01:22.000,49.0,52.0,49.0,52.0,62.0,15.2,11.4,0.1,6.0,56.3,0.0,0.0,2.4
08:01:24.000,49.0,53.0,49.0,60.0,60.0,15.4,11.6,0.1,5.3,56.3,0.0,0.0,2.4
08:01:26.000,49.0,50.0,49.0,59.0,59.0,15.5,11.6,0.0,5.8,55.9,0.0,0.0,2.4
08:01:28.000,47.0,51.0,48.0,57.0,57.0,15.7,11.9,0.0,5.5,55.9,0.0,0.0,2.4
08:01:30.000,48.0,50.0,51.0,48.0,59.0,14.8,11.0,0.1,6.5,55.9,0.0,0.0,2.4
08:01:32.000,49.0,50.0,49.0,57.0,56.0,16.4,12.5,0.0,7.1,56.0,0.0,0.0,2.4
