Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%)
20:20:43.000,50.0,55.0,51.0,48.0,55.0,19.8,15.4,0.0,12.0,71.2,0.0,0.0,2.4
20:20:45.000,42.0,42.0,40.0,43.0,47.0,17.2,13.1,0.0,9.5,71.3,0.0,0.0,2.4
20:20:47.000,42.0,44.0,42.0,46.0,47.0,18.1,13.9,0.0,13.0,71.4,0.0,0.0,2.4
20:20:49.000,41.0,44.0,42.0,43.0,47.0,17.5,13.4,0.0,13.9,71.5,0.0,0.0,2.4
20:20:51.000,42.0,44.0,42.0,43.0,49.0,19.9,15.7,0.0,11.9,71.5,0.0,0.0,2.4
20:20:53.000,40.0,42.0,41.0,42.0,47.0,14.4,10.4,0.0,11.1,71.4,0.0,0.0,2.4
20:20:55.000,40.0,42.0,42.0,43.0,49.0,15.4,11.5,0.0,9.0,71.4,0.0,0.0,2.4
20:20:57.000,45.0,61.0,43.0,48.0,62.0,17.1,13.0,0.0,10.8,71.4,0.0,0.0,2.4
20:20:59.000,43.0,42.0,44.0,47.0,47.0,14.9,11.0,0.0,11.6,71.4,0.0,0.0,2.4
20:21:01.000,43.0,66.0,44.0,49.0,66.0,19.3,15.1,0.0,10.2,71.8,0.0,0.0,2.4
20:21:03.000,40.0,42.0,40.0,41.0,47.0,8.5,4.4,0.0,4.6,72.0,0.0,0.0,2.4
20:21:05.000,49.0,43.0,43.0,43.0,49.0,14.9,10.9,0.0,10.6,72.0,0.0,0.0,2.4
20:21:07.000,61.0,47.0,53.0,47.0,60.0,19.7,15.6,0.0,10.7,72.2,0.0,0.0,2.4
20:21:09.000,40.0,43.0,42.0,43.0,49.0,15.1,11.0,0.0,8.7,72.0,0.0,0.0,2.4
20:21:11.000,46.0,43.0,43.0,42.0,51.0,14.7,10.7,0.0,10.4,72.0,0.0,0.0,2.4
20:21:13.000,49.0,42.0,43.0,43.0,49.0,15.1,11.2,0.0,10.4,72.0,0.0,0.0,2.4
20:21:15.000,42.0,56.0,44.0,46.0,56.0,14.5,10.3,0.0,9.4,71.9,0.0,0.0,2.4
20:21:17.000,46.0,42.0,42.0,43.0,48.0,15.8,11.7,0.0,10.0,71.9,0.0,0.0,2.4
20:21:19.000,43.0,42.0,42.0,43.0,49.0,14.0,10.2,0.0,11.0,71.9,0.0,0.0,2.4
20:21:21.000,42.0,42.0,42.0,43.0,48.0,14.7,10.7,0.0,7.9,71.9,0.0,0.0,2.4
20:21:23.000,41.0,42.0,41.0,43.0,47.0,15.0,11.0,0.0,10.6,71.9,0.0,0.0,2.4
20:21:25.000,40.0,44.0,41.0,43.0,60.0,15.3,11.3,0.0,11.0,71.9,0.0,0.0,2.4
20:21:27.000,46.0,42.0,42.0,43.0,48.0,14.1,10.1,0.0,11.1,71.8,0.0,0.0,2.4
20:21:29.000,46.0,42.0,52.0,52.0,50.0,14.4,10.4,0.0,10.1,71.9,0.0,0.0,2.4
20:21:31.000,41.0,43.0,41.0,42.0,48.0,13.9,9.8,0.0,9.5,71.9,0.0,0.0,2.4
20:21:33.000,40.0,43.0,41.0,43.0,49.0,15.2,11.2,0.0,11.2,72.0,0.0,0.0,2.4
20:21:35.000,47.0,44.0,67.0,57.0,57.0,17.9,13.9,0.0,11.7,72.3,0.0,0.0,2.4
20:21:37.000,45.0,43.0,51.0,43.0,51.0,15.7,11.7,0.0,8.6,72.2,0.0,0.0,2.4
20:21:39.000,49.0,44.0,44.0,45.0,49.0,14.2,10.3,0.0,10.4,72.2,0.0,0.0,2.4
20:21:41.000,42.0,43.0,42.0,42.0,49.0,14.4,10.6,0.0,8.8,72.2,0.0,0.0,2.4
20:21:43.000,42.0,43.0,42.0,43.0,48.0,15.1,11.2,0.0,9.4,72.3,0.0,0.0,2.4
20:21:45.000,53.0,44.0,46.0,43.0,53.0,14.8,10.9,0.0,8.6,72.3,0.0,0.0,2.4
20:21:47.000,45.0,42.0,52.0,42.0,52.0,15.2,11.1,0.0,8.9,72.3,0.0,0.0,2.4
20:21:49.000,43.0,55.0,43.0,47.0,55.0,13.3,9.5,0.0,10.9,72.3,0.0,0.0,2.4
20:21:51.000,43.0,43.0,42.0,43.0,49.0,14.9,11.0,0.0,9.0,71.8,0.0,0.0,2.4
20:21:53.000,42.0,44.0,42.0,43.0,49.0,13.5,9.4,0.0,9.0,71.9,0.0,0.0,2.4
20:21:55.000,42.0,43.0,42.0,43.0,59.0,12.3,8.1,0.0,12.1,71.9,0.0,0.0,2.4
20:21:57.000,43.0,43.0,43.0,43.0,49.0,13.8,9.8,0.0,10.3,71.8,0.0,0.0,2.4
20:21:59.000,42.0,43.0,42.0,43.0,49.0,15.0,11.0,0.0,12.4,71.9,0.0,0.0,2.4
20:22:01.000,42.0,43.0,42.0,43.0,49.0,14.8,10.8,0.0,8.1,71.9,0.0,0.0,2.4
20:22:03.000,42.0,43.0,44.0,43.0,49.0,20.6,16.3,0.0,17.2,72.1,0.0,0.0,2.4
20:22:05.000,43.0,43.0,43.0,43.0,49.0,14.1,9.9,0.0,9.5,72.2,0.0,0.0,2.4
20:22:07.000,41.0,43.0,42.0,42.0,50.0,7.2,3.5,0.1,4.8,72.2,0.0,0.0,2.4
