Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W)
15:01:45.000,0.0,2.39,0.6,3.01
15:01:46.000,0.83,2.39,0.6,3.01
15:01:47.000,1.93,2.39,0.58,2.92
15:01:48.000,3.04,2.38,0.66,3.32
15:01:49.000,4.14,2.4,0.55,2.73
15:01:50.000,5.24,2.41,0.49,2.44
15:01:51.000,6.34,2.38,0.63,3.14
15:01:53.000,7.44,2.39,0.61,3.06
15:01:54.000,8.55,2.4,0.56,2.79
15:01:55.000,9.65,2.41,0.51,2.56
15:01:56.000,10.74,2.39,0.61,3.04
15:01:57.000,11.85,2.38,0.63,3.16
15:01:58.000,12.95,2.39,0.62,3.09
15:01:59.000,14.05,2.4,0.55,2.77
15:02:00.000,15.15,2.4,0.55,2.73
15:02:01.000,16.25,2.41,0.51,2.54
15:02:02.000,17.35,2.41,0.51,2.55
15:02:04.000,18.46,2.38,0.62,3.12
15:02:05.000,19.56,2.39,0.59,2.97
15:02:06.000,20.66,2.4,0.55,2.73
15:02:07.000,21.76,2.4,0.53,2.66
15:02:08.000,22.86,2.4,0.54,2.68
15:02:09.000,23.97,2.39,0.62,3.08
15:02:10.000,25.07,2.39,0.57,2.87
15:02:11.000,26.17,2.39,0.58,2.88
15:02:12.000,27.27,2.41,0.48,2.38
15:02:13.000,28.37,2.4,0.53,2.64
15:02:15.000,29.47,2.41,0.51,2.54
15:02:16.000,30.58,2.4,0.55,2.73
15:02:17.000,31.68,2.39,0.58,2.91
15:02:18.000,32.78,2.4,0.55,2.77
15:02:19.000,33.88,2.41,0.5,2.5
15:02:20.000,34.98,2.4,0.52,2.62
15:02:21.000,36.09,2.4,0.54,2.71
15:02:22.000,37.19,2.4,0.55,2.76
15:02:23.000,38.29,2.38,0.64,3.22
15:02:24.000,39.39,2.39,0.57,2.84
15:02:26.000,40.49,2.4,0.55,2.76
15:02:27.000,41.59,2.4,0.53,2.64
15:02:28.000,42.7,2.39,0.59,2.97
15:02:29.000,43.8,2.4,0.55,2.73
15:02:30.000,44.9,2.39,0.58,2.91
15:02:31.000,46.0,2.4,0.54,2.68
15:02:32.000,47.1,2.39,0.59,2.96
15:02:33.000,48.21,2.39,0.6,3.0
15:02:34.000,49.31,2.39,0.58,2.88
15:02:35.000,50.41,2.38,0.65,3.26
15:02:37.000,51.51,2.38,0.63,3.13
15:02:38.000,52.61,2.33,0.92,4.6
15:02:39.000,53.71,2.38,0.67,3.36
15:02:40.000,54.82,2.38,0.64,3.18
15:02:41.000,55.92,2.37,0.68,3.38
15:02:42.000,57.02,2.38,0.66,3.3
15:02:43.000,58.12,2.37,0.7,3.51
15:02:44.000,59.22,2.38,0.63,3.16
15:02:45.000,60.33,2.38,0.66,3.3
15:02:47.000,61.43,2.39,0.61,3.03
15:02:48.000,62.53,2.35,0.84,4.19
15:02:49.000,63.63,2.37,0.73,3.65
15:02:50.000,64.73,2.39,0.58,2.88
15:02:51.000,65.83,2.39,0.6,3.01
15:02:52.000,66.93,2.38,0.63,3.17
15:02:53.000,68.03,2.39,0.6,3.01
15:02:54.000,69.13,2.4,0.55,2.73
15:02:55.000,70.24,2.41,0.48,2.42
15:02:56.000,71.34,2.41,0.51,2.56
15:02:58.000,72.44,2.39,0.58,2.89
15:02:59.000,73.54,2.41,0.5,2.5
15:03:00.000,74.64,2.4,0.55,2.75
15:03:01.000,75.75,2.41,0.51,2.56
15:03:02.000,76.85,2.4,0.53,2.66
15:03:03.000,77.95,2.39,0.61,3.06
15:03:04.000,79.05,2.38,0.64,3.22
15:03:05.000,80.15,2.39,0.62,3.08
15:03:06.000,81.25,2.4,0.55,2.73
15:03:07.000,82.36,2.4,0.53,2.67
15:03:09.000,83.46,2.4,0.53,2.63
