Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Network (Ko/s),CPU Temperature (°C)
14:50:26.000,0.0,0.5,538.5,19.4,1.4140625,56.9
14:50:27.000,1.01,0.5,538.22,19.3,0.0,56.4
14:50:28.000,2.02,0.0,537.79,19.3,0.0,56.4
14:50:29.000,3.03,0.0,537.65,19.3,0.087890625,56.0
14:50:30.000,4.03,0.0,537.65,19.3,0.0,56.0
14:50:31.000,5.04,0.0,537.9,19.3,0.0,56.0
14:50:32.000,6.05,0.0,538.41,19.3,1.26953125,56.0
14:50:33.000,7.06,3.0,538.41,19.3,0.650390625,56.4
14:50:34.000,8.08,2.0,537.89,19.3,0.158203125,56.0
14:50:35.000,9.08,0.0,537.89,19.3,0.1025390625,56.0
14:50:36.000,10.09,0.0,537.89,19.3,0.0,56.0
14:50:37.000,11.1,0.0,537.89,19.3,0.0,56.0
14:50:38.000,12.11,0.0,538.4,19.3,0.0703125,56.0
14:50:39.000,13.12,0.5,538.4,19.3,1.501953125,55.5
14:50:40.000,14.13,0.0,538.4,19.3,0.0,56.4
14:50:41.000,15.14,0.0,538.4,19.3,0.0,55.5
14:50:42.000,16.15,0.0,538.39,19.3,0.0,55.0
14:50:43.000,17.16,0.5,538.39,19.3,0.115234375,55.0
14:50:44.000,18.17,0.0,538.39,19.3,0.087890625,56.4
14:50:45.000,19.18,0.0,538.39,19.3,0.0,56.0
14:50:46.000,20.19,0.5,538.31,19.3,0.4560546875,55.5
14:50:47.000,21.2,0.0,534.63,19.1,0.0,55.5
14:50:48.000,22.2,0.0,534.63,19.1,0.0,56.0
14:50:49.000,23.21,0.5,534.63,19.1,0.318359375,56.0
14:50:50.000,24.22,0.5,534.63,19.1,0.0,55.5
14:50:51.000,25.23,0.5,534.63,19.1,1.654296875,56.0
14:50:52.000,26.24,0.0,534.62,19.1,0.0,56.0
14:50:53.000,27.25,0.0,535.09,19.2,0.560546875,55.5
14:50:54.000,28.26,0.5,535.09,19.2,0.087890625,56.0
14:50:55.000,29.27,0.0,535.09,19.2,0.0,55.5
14:50:56.000,30.28,0.0,535.09,19.2,0.0,56.0
14:50:57.000,31.29,0.0,535.09,19.2,0.0,55.5
14:50:58.000,32.3,0.5,535.09,19.2,0.087890625,56.0
14:50:59.000,33.31,1.5,535.09,19.2,15.7333984375,56.0
14:51:00.000,34.32,0.0,535.09,19.2,0.0,56.0
14:51:01.000,35.33,0.0,535.34,19.2,0.064453125,56.0
14:51:02.000,36.34,0.0,535.33,19.2,0.05078125,56.4
14:51:03.000,37.34,0.0,535.33,19.2,0.087890625,55.5
14:51:04.000,38.35,0.0,535.33,19.2,1.4140625,56.0
14:51:05.000,39.36,0.5,535.33,19.2,0.1025390625,56.0
14:51:06.000,40.37,0.0,535.33,19.2,0.0,55.0
14:51:07.000,41.39,0.0,535.33,19.2,0.0,55.0
14:51:08.000,42.4,0.0,535.32,19.2,0.087890625,56.4
14:51:09.000,43.41,0.0,535.32,19.2,0.0,56.0
14:51:10.000,44.41,1.0,535.32,19.2,0.0,55.5
14:51:11.000,45.43,0.0,535.32,19.2,0.0,56.0
14:51:12.000,46.43,0.0,535.32,19.2,0.0703125,55.5
14:51:13.000,47.44,0.0,535.32,19.2,0.087890625,55.5
14:51:14.000,48.45,0.0,535.32,19.2,0.0,56.4
14:51:15.000,49.46,0.0,535.44,19.2,0.0703125,55.0
14:51:16.000,50.47,0.0,535.44,19.2,0.0,55.5
14:51:17.000,51.48,0.0,535.44,19.2,1.4140625,56.4
14:51:18.000,52.49,0.0,535.44,19.2,0.6484375,56.0
14:51:19.000,53.5,0.0,535.69,19.2,0.0,55.0
14:51:20.000,54.51,0.0,535.69,19.2,0.0,56.0
14:51:21.000,55.52,0.5,535.69,19.2,0.0,56.0
14:51:22.000,56.53,0.0,535.69,19.2,0.0,55.5
14:51:23.000,57.54,0.0,535.69,19.2,0.087890625,55.0
14:51:24.000,58.55,2.5,535.69,19.2,0.0,55.0
14:51:25.000,59.56,9.0,535.18,19.2,0.0,55.5
14:51:26.000,60.56,29.7,535.39,19.3,0.0,56.0
14:51:27.000,61.58,0.5,536.93,19.3,2.513671875,56.9
14:51:28.000,62.58,0.0,537.11,19.3,0.203125,56.0
14:51:29.000,63.59,56.5,543.34,19.7,1.4140625,57.4
14:51:30.000,64.59,0.0,544.43,19.8,0.267578125,56.4
14:51:31.000,65.6,0.0,544.93,19.8,0.23046875,56.4
14:51:32.000,66.61,0.5,545.95,19.8,0.0,56.9
14:51:33.000,67.62,34.0,541.92,19.7,0.087890625,56.9
14:51:34.000,68.62,0.5,543.09,19.7,0.4609375,56.9
14:51:35.000,69.63,0.5,543.58,19.7,0.1025390625,56.0
14:51:36.000,70.63,0.0,543.83,19.8,0.0,56.9
14:51:37.000,71.63,0.5,543.19,19.7,0.0,56.0
14:51:38.000,72.64,0.5,539.41,19.4,0.087890625,56.9
14:51:39.000,73.65,0.0,539.72,19.5,0.078125,56.0
14:51:40.000,74.66,1.0,539.18,19.4,0.0,55.5
14:51:41.000,75.67,0.0,539.16,19.4,0.0,56.4
14:51:42.000,76.68,0.0,538.91,19.4,1.4140625,56.0
14:51:43.000,77.69,0.5,538.91,19.4,0.318359375,55.5
14:51:44.000,78.7,0.0,538.91,19.4,0.0,56.0
14:51:45.000,79.71,0.0,538.91,19.4,0.0,56.0
14:51:46.000,80.71,0.5,538.91,19.4,0.115234375,56.4
14:51:47.000,81.72,0.0,538.91,19.4,0.0,55.5
14:51:48.000,82.73,0.0,538.91,19.4,0.87890625,56.0
14:51:49.000,83.74,0.5,538.91,19.4,1.78125,55.5
14:51:50.000,84.75,0.0,538.91,19.4,0.0,56.0
14:51:51.000,85.76,0.0,538.91,19.4,0.0,54.5
14:51:52.000,86.77,1.0,538.91,19.4,0.0,56.0
14:51:53.000,87.78,0.5,538.91,19.4,0.158203125,55.0
14:51:54.000,88.79,0.0,538.91,19.4,0.0,55.0
14:51:55.000,89.8,0.0,538.91,19.4,1.4140625,55.0
14:51:56.000,90.81,0.0,538.91,19.4,0.0,55.5
14:51:57.000,91.82,1.0,538.91,19.4,0.162109375,55.5
14:51:58.000,92.83,0.0,538.91,19.4,0.087890625,55.5
14:51:59.000,93.84,0.0,537.86,19.4,0.0,55.5
14:52:00.000,94.84,1.0,538.21,19.2,0.0,55.5
14:52:01.000,95.85,0.0,538.46,19.2,0.0,55.5
14:52:02.000,96.86,0.0,538.46,19.2,0.0,55.5
14:52:03.000,97.87,0.0,538.46,19.2,0.087890625,56.4
14:52:04.000,98.88,0.0,538.46,19.2,0.0,56.4
14:52:05.000,99.89,0.0,538.46,19.2,0.1025390625,55.5
14:52:06.000,100.9,0.0,538.46,19.2,0.0,55.5
14:52:07.000,101.91,0.5,538.45,19.2,1.57421875,55.5
14:52:08.000,102.92,0.0,538.45,19.2,0.408203125,54.5
