Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W)
21:13:25.000,0.0,2.38,0.63,3.13
21:13:26.000,0.83,2.39,0.58,2.89
21:13:27.000,1.93,2.39,0.58,2.88
21:13:28.000,3.03,2.39,0.61,3.03
21:13:29.000,4.14,2.41,0.5,2.48
21:13:31.000,5.24,2.41,0.48,2.39
21:13:32.000,6.34,2.4,0.55,2.73
21:13:33.000,7.44,2.41,0.51,2.54
21:13:34.000,8.54,2.41,0.5,2.51
21:13:35.000,9.65,2.41,0.51,2.54
21:13:36.000,10.75,2.4,0.55,2.76
21:13:37.000,11.85,2.38,0.64,3.21
21:13:38.000,12.95,2.39,0.61,3.05
21:13:39.000,14.05,2.4,0.54,2.72
21:13:41.000,15.15,2.39,0.6,3.0
21:13:42.000,16.26,2.4,0.55,2.73
21:13:43.000,17.36,2.4,0.56,2.79
21:13:44.000,18.46,2.41,0.47,2.34
21:13:45.000,19.56,2.4,0.53,2.67
21:13:46.000,20.66,2.41,0.5,2.48
21:13:47.000,21.76,2.41,0.51,2.56
21:13:48.000,22.87,2.4,0.53,2.67
21:13:49.000,23.97,2.4,0.52,2.6
21:13:50.000,25.07,2.41,0.49,2.46
21:13:52.000,26.17,2.4,0.52,2.59
21:13:53.000,27.27,2.4,0.53,2.64
21:13:54.000,28.37,2.37,0.72,3.61
21:13:55.000,29.47,2.38,0.67,3.33
21:13:56.000,30.58,2.39,0.62,3.1
21:13:57.000,31.68,2.36,0.76,3.78
21:13:58.000,32.78,2.37,0.73,3.65
21:13:59.000,33.88,2.39,0.6,3.0
21:14:00.000,34.98,2.39,0.58,2.89
21:14:01.000,36.08,2.4,0.55,2.73
21:14:03.000,37.19,2.39,0.58,2.92
21:14:04.000,38.29,2.41,0.51,2.56
21:14:05.000,39.39,2.41,0.5,2.52
21:14:06.000,40.49,2.41,0.49,2.44
21:14:07.000,41.59,2.41,0.48,2.39
21:14:08.000,42.7,2.4,0.52,2.62
21:14:09.000,43.8,2.4,0.52,2.6
21:14:10.000,44.9,2.4,0.52,2.59
21:14:11.000,46.0,2.4,0.53,2.63
21:14:12.000,47.1,2.41,0.48,2.42
21:14:14.000,48.2,2.41,0.48,2.38
21:14:15.000,49.31,2.41,0.48,2.4
21:14:16.000,50.41,2.41,0.5,2.52
21:14:17.000,51.51,2.4,0.54,2.71
21:14:18.000,52.61,2.39,0.58,2.89
21:14:19.000,53.71,2.4,0.52,2.58
21:14:20.000,54.81,2.4,0.54,2.68
21:14:21.000,55.92,2.4,0.52,2.58
21:14:22.000,57.02,2.4,0.54,2.69
21:14:23.000,58.12,2.39,0.59,2.95
21:14:25.000,59.22,2.4,0.53,2.64
21:14:26.000,60.32,2.41,0.51,2.55
21:14:27.000,61.43,2.35,0.8,4.0
21:14:28.000,62.53,2.36,0.75,3.74
21:14:29.000,63.63,2.36,0.78,3.88
21:14:30.000,64.73,2.37,0.7,3.51
21:14:31.000,65.83,2.36,0.78,3.91
21:14:32.000,66.93,2.39,0.59,2.96
21:14:33.000,68.04,2.39,0.62,3.08
21:14:34.000,69.14,2.39,0.59,2.95
21:14:36.000,70.24,2.39,0.59,2.95
21:14:37.000,71.34,2.39,0.62,3.09
21:14:38.000,72.44,2.39,0.58,2.92
21:14:39.000,73.55,2.4,0.57,2.83
21:14:40.000,74.65,2.4,0.52,2.58
21:14:41.000,75.74,2.41,0.5,2.52
21:14:42.000,76.85,2.4,0.54,2.69
21:14:43.000,77.95,2.39,0.6,3.0
21:14:44.000,79.05,2.4,0.55,2.76
21:14:46.000,80.15,2.4,0.54,2.72
21:14:47.000,81.25,2.4,0.55,2.73
21:14:48.000,82.35,2.38,0.63,3.14
21:14:49.000,83.46,2.39,0.61,3.04
21:14:50.000,84.56,2.41,0.5,2.5
21:14:51.000,85.66,2.4,0.53,2.67
21:14:52.000,86.76,2.4,0.55,2.73
21:14:53.000,87.86,2.4,0.54,2.69
21:14:54.000,88.97,2.41,0.5,2.52
21:14:55.000,90.07,2.4,0.52,2.6
21:14:57.000,91.17,2.41,0.49,2.43
21:14:58.000,92.27,2.39,0.61,3.04
21:14:59.000,93.37,2.38,0.63,3.14
21:15:00.000,94.48,2.4,0.53,2.63
21:15:01.000,95.58,2.39,0.57,2.85
21:15:02.000,96.68,2.4,0.52,2.58
21:15:03.000,97.78,2.41,0.5,2.48
21:15:04.000,98.88,2.4,0.54,2.69
21:15:05.000,99.98,2.41,0.46,2.3
21:15:06.000,101.09,2.4,0.52,2.6
21:15:08.000,102.19,2.4,0.55,2.73
21:15:09.000,103.29,2.41,0.47,2.36
21:15:10.000,104.39,2.38,0.66,3.29
21:15:11.000,105.49,2.39,0.59,2.95
21:15:12.000,106.59,2.39,0.58,2.88
21:15:13.000,107.7,2.38,0.64,3.21
21:15:14.000,108.8,2.39,0.57,2.87
21:15:15.000,109.9,2.39,0.57,2.85
21:15:16.000,111.0,2.39,0.57,2.87
21:15:17.000,112.1,2.39,0.58,2.91
21:15:19.000,113.2,2.38,0.63,3.17
21:15:20.000,114.31,2.4,0.54,2.68
21:15:21.000,115.41,2.41,0.48,2.39
21:15:22.000,116.51,2.4,0.54,2.71
21:15:23.000,117.61,2.41,0.5,2.52
21:15:24.000,118.71,2.4,0.54,2.68
21:15:25.000,119.82,2.41,0.47,2.35
21:15:26.000,120.92,2.4,0.52,2.62
21:15:27.000,122.02,2.4,0.53,2.64
21:15:28.000,123.12,2.41,0.5,2.52
21:15:30.000,124.22,2.41,0.49,2.43
21:15:31.000,125.32,2.4,0.54,2.68
21:15:32.000,126.42,2.4,0.52,2.6
21:15:33.000,127.52,2.4,0.54,2.69
21:15:34.000,128.63,2.41,0.49,2.43
21:15:35.000,129.73,2.4,0.55,2.75
21:15:36.000,130.83,2.41,0.5,2.5
21:15:37.000,131.93,2.4,0.54,2.71
21:15:38.000,133.03,2.39,0.58,2.89
