Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W)
19:55:37.000,0.0,2.38,0.66,3.29
19:55:38.000,0.83,2.36,0.75,3.73
19:55:39.000,1.93,2.36,0.78,3.9
19:55:40.000,3.04,2.35,0.79,3.96
19:55:41.000,4.14,2.37,0.69,3.46
19:55:42.000,5.24,2.37,0.7,3.51
19:55:43.000,6.34,2.38,0.64,3.21
19:55:45.000,7.44,2.39,0.6,3.01
19:55:46.000,8.54,2.4,0.56,2.8
19:55:47.000,9.65,2.39,0.6,3.0
19:55:48.000,10.75,2.39,0.62,3.08
19:55:49.000,11.85,2.39,0.58,2.88
19:55:50.000,12.95,2.39,0.58,2.89
19:55:51.000,14.05,2.39,0.61,3.05
19:55:52.000,15.16,2.38,0.65,3.26
19:55:53.000,16.26,2.39,0.62,3.09
19:55:54.000,17.36,2.38,0.64,3.22
19:55:56.000,18.46,2.39,0.61,3.03
19:55:57.000,19.56,2.39,0.62,3.09
19:55:58.000,20.66,2.38,0.67,3.36
19:55:59.000,21.77,2.38,0.66,3.3
19:56:00.000,22.87,2.38,0.63,3.17
19:56:01.000,23.97,2.39,0.62,3.08
19:56:02.000,25.07,2.38,0.63,3.14
19:56:03.000,26.17,2.37,0.69,3.46
19:56:04.000,27.27,2.38,0.63,3.17
19:56:06.000,28.38,2.39,0.58,2.92
19:56:07.000,29.48,2.37,0.71,3.57
19:56:08.000,30.58,2.37,0.71,3.55
19:56:09.000,31.68,2.39,0.61,3.03
19:56:10.000,32.78,2.39,0.59,2.93
19:56:11.000,33.88,2.37,0.68,3.38
19:56:12.000,34.99,2.37,0.68,3.42
19:56:13.000,36.09,2.39,0.62,3.09
19:56:14.000,37.19,2.39,0.6,2.99
19:56:15.000,38.29,2.4,0.56,2.81
19:56:17.000,39.39,2.38,0.63,3.13
19:56:18.000,40.5,2.38,0.64,3.2
19:56:19.000,41.6,2.36,0.75,3.73
19:56:20.000,42.7,2.37,0.72,3.58
19:56:21.000,43.8,2.37,0.68,3.42
19:56:22.000,44.9,2.37,0.69,3.47
19:56:23.000,46.0,2.39,0.61,3.05
19:56:24.000,47.11,2.39,0.59,2.93
19:56:25.000,48.21,2.39,0.58,2.88
19:56:26.000,49.31,2.38,0.65,3.24
19:56:28.000,50.41,2.39,0.57,2.85
19:56:29.000,51.51,2.39,0.6,3.0
19:56:30.000,52.62,2.39,0.58,2.91
19:56:31.000,53.72,2.39,0.6,3.01
19:56:32.000,54.82,2.38,0.66,3.3
19:56:33.000,55.92,2.39,0.58,2.89
19:56:34.000,57.02,2.38,0.63,3.14
19:56:35.000,58.12,2.4,0.55,2.77
19:56:36.000,59.23,2.39,0.58,2.89
19:56:37.000,60.33,2.38,0.63,3.16
19:56:39.000,61.43,2.38,0.67,3.34
19:56:40.000,62.53,2.39,0.62,3.1
19:56:41.000,63.63,2.4,0.56,2.79
19:56:42.000,64.74,2.39,0.61,3.05
19:56:43.000,65.84,2.38,0.63,3.17
19:56:44.000,66.94,2.37,0.69,3.47
19:56:45.000,68.04,2.37,0.71,3.55
19:56:46.000,69.14,2.38,0.63,3.17
19:56:47.000,70.24,2.39,0.59,2.93
19:56:48.000,71.35,2.38,0.62,3.12
19:56:50.000,72.45,2.39,0.62,3.08
19:56:51.000,73.55,2.37,0.71,3.53
19:56:52.000,74.65,2.38,0.63,3.13
19:56:53.000,75.75,2.39,0.62,3.09
19:56:54.000,76.86,2.39,0.59,2.95
19:56:55.000,77.96,2.39,0.59,2.93
19:56:56.000,79.06,2.39,0.62,3.09
19:56:57.000,80.16,2.38,0.65,3.25
19:56:58.000,81.26,2.37,0.73,3.63
19:56:59.000,82.36,2.38,0.66,3.32
19:57:01.000,83.47,2.38,0.63,3.14
19:57:02.000,84.57,2.4,0.56,2.79
19:57:03.000,85.67,2.39,0.61,3.03
19:57:04.000,86.77,2.39,0.59,2.96
19:57:05.000,87.87,2.38,0.66,3.32
19:57:06.000,88.97,2.37,0.7,3.51
19:57:07.000,90.07,2.38,0.66,3.3
19:57:08.000,91.17,2.36,0.75,3.73
19:57:09.000,92.28,2.38,0.66,3.3
19:57:11.000,93.38,2.38,0.62,3.12
19:57:12.000,94.48,2.39,0.61,3.03
19:57:13.000,95.58,2.39,0.62,3.1
19:57:14.000,96.68,2.38,0.65,3.26
19:57:15.000,97.79,2.39,0.62,3.08
19:57:16.000,98.89,2.38,0.65,3.26
19:57:17.000,99.99,2.38,0.66,3.29
19:57:18.000,101.09,2.38,0.65,3.26
19:57:19.000,102.19,2.37,0.7,3.49
19:57:20.000,103.29,2.38,0.66,3.3
19:57:22.000,104.4,2.39,0.57,2.84
19:57:23.000,105.5,2.39,0.6,2.99
19:57:24.000,106.6,2.4,0.56,2.8
19:57:25.000,107.7,2.38,0.64,3.21
19:57:26.000,108.8,2.39,0.62,3.09
19:57:27.000,109.91,2.4,0.55,2.73
19:57:28.000,111.01,2.39,0.62,3.09
19:57:29.000,112.11,2.39,0.6,3.0
19:57:30.000,113.21,2.39,0.61,3.06
19:57:31.000,114.31,2.38,0.64,3.22
19:57:33.000,115.41,2.38,0.67,3.34
19:57:34.000,116.52,2.38,0.66,3.3
19:57:35.000,117.62,2.38,0.66,3.3
19:57:36.000,118.72,2.38,0.64,3.21
19:57:37.000,119.82,2.37,0.73,3.65
19:57:38.000,120.92,2.36,0.76,3.82
19:57:39.000,122.02,2.37,0.7,3.5
19:57:40.000,123.13,2.36,0.76,3.8
19:57:41.000,124.23,2.35,0.81,4.06
19:57:42.000,125.33,2.36,0.73,3.66
19:57:44.000,126.43,2.37,0.7,3.51
19:57:45.000,127.53,2.39,0.62,3.08
19:57:46.000,128.64,2.4,0.55,2.75
19:57:47.000,129.74,2.39,0.58,2.89
19:57:48.000,130.84,2.4,0.57,2.83
19:57:49.000,131.94,2.4,0.57,2.83
19:57:50.000,133.04,2.4,0.54,2.68
19:57:51.000,134.14,2.39,0.62,3.08
19:57:52.000,135.25,2.37,0.68,3.39
19:57:53.000,136.35,2.37,0.69,3.43
19:57:55.000,137.45,2.37,0.69,3.45
19:57:56.000,138.55,2.38,0.64,3.21
19:57:57.000,139.65,2.38,0.65,3.25
19:57:58.000,140.75,2.38,0.67,3.37
19:57:59.000,141.86,2.37,0.71,3.53
