Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:55:44.000,0.0,0.5,629.86,21.3,0.0,0.0,0.0,57.9,0,0.0,0
19:55:45.100,1.1,0.0,631.61,21.3,0.0,0.0,0.0,57.9,0,0.0,0
19:55:46.190,2.19,0.0,631.55,21.3,0.0,0.02,0.0,58.9,0,0.0,0
19:55:47.290,3.29,0.0,631.77,21.3,0.0,0.0,0.0,58.4,0,0.0,0
19:55:48.380,4.38,0.0,632.01,21.4,0.0,0.03,0.0,59.9,0,0.0,0
19:55:49.540,5.54,0.0,632.01,21.3,0.0,0.0,0.0,58.9,0,0.0,0
19:55:50.630,6.63,0.0,632.01,21.3,0.0,0.0,0.0,58.4,0,0.0,0
19:55:51.720,7.72,0.0,632.01,21.3,0.0,0.03,0.0,59.4,0,0.0,0
19:55:52.820,8.82,0.0,632.01,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:55:53.910,9.91,0.0,632.26,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:55:55.080,11.08,0.0,632.0,21.3,0.0,0.01,0.0,59.4,0,0.0,0
19:55:56.170,12.17,0.0,632.0,21.3,0.0,0.0,0.0,58.9,0,0.0,0
19:55:57.270,13.27,0.0,632.25,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:55:58.360,14.36,0.5,632.25,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:55:59.460,15.46,0.0,632.25,21.4,0.0,0.01,0.0,58.9,0,0.0,0
19:56:00.620,16.62,0.0,632.25,21.4,0.0,0.0,0.0,60.3,0,0.0,0
19:56:01.710,17.71,0.0,632.5,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:02.810,18.81,0.0,632.25,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:03.900,19.9,0.0,632.5,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:05.000,21.0,0.5,632.5,21.4,0.0,0.02,0.0,59.4,0,0.0,0
19:56:06.160,22.16,0.0,632.24,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:07.260,23.26,0.0,632.49,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:08.350,24.35,0.5,632.24,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:09.450,25.45,0.0,632.24,21.4,0.0,0.0,0.0,59.4,0,0.0,0
19:56:10.540,26.54,1.0,632.1,21.4,0.0,0.01,0.0,58.9,0,0.0,0
19:56:11.710,27.71,0.0,631.99,21.3,0.0,0.01,0.0,59.9,0,0.0,0
19:56:12.800,28.8,0.0,631.99,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:13.900,29.9,0.0,631.99,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:14.990,30.99,0.0,629.23,21.3,0.0,0.09,0.0,59.4,0,0.0,0
19:56:16.090,32.09,0.0,629.96,21.3,0.0,0.0,0.0,60.3,0,0.0,0
19:56:17.250,33.25,0.0,630.18,21.3,0.0,0.0,0.0,60.8,0,0.0,0
19:56:18.340,34.34,0.0,630.43,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:19.440,35.44,14.1,630.39,21.3,0.0,0.0,0.0,60.8,0,0.0,0
19:56:20.540,36.54,0.0,630.39,21.3,0.0,0.01,0.0,59.9,0,0.0,0
19:56:21.630,37.63,0.0,630.39,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:22.790,38.79,0.0,630.65,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:23.890,39.89,0.0,630.65,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:24.980,40.98,0.0,630.65,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:26.080,42.08,0.0,630.65,21.3,0.0,0.0,0.0,60.8,0,0.0,0
19:56:27.170,43.17,0.0,630.65,21.3,0.0,0.0,0.0,60.8,0,0.0,0
19:56:28.340,44.34,0.0,630.41,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:29.430,45.43,0.0,630.41,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:30.530,46.53,0.0,630.41,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:31.620,47.62,0.0,630.41,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:32.720,48.72,0.0,630.41,21.3,0.0,0.0,0.0,58.4,0,0.0,0
19:56:33.880,49.88,0.0,630.41,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:34.970,50.97,0.5,630.41,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:36.070,52.07,0.0,630.41,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:37.160,53.16,0.0,630.41,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:38.250,54.25,0.0,630.41,21.3,0.0,0.0,0.0,60.3,0,0.0,0
19:56:39.410,55.41,0.0,630.41,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:40.510,56.51,0.0,630.41,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:41.600,57.6,0.0,630.41,21.3,0.0,0.0,0.0,60.3,0,0.0,0
19:56:42.700,58.7,0.0,630.16,21.3,0.0,0.0,0.0,60.3,0,0.0,0
19:56:43.790,59.79,0.0,630.16,21.3,0.0,0.0,0.0,58.9,0,0.0,0
19:56:44.960,60.96,0.0,630.16,21.3,0.0,0.0,0.0,59.9,0,0.0,0
