Timestamp,Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
01:00:00.000,18.7,0.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:05.000,20.3,5.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:10.000,19.0,10.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:15.000,20.9,15.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:20.000,19.0,20.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:25.000,18.4,25.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:30.000,18.4,30.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:35.000,19.0,35.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:40.000,19.0,40.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:45.000,18.7,45.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:50.000,18.7,50.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:00:55.000,18.7,55.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:01:00.000,18.7,60.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:01:05.000,20.3,65.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
