Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
00:59:34.342,38.9,8.79,45.12,0.0,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:35.650,38.9,5.49,45.19,1.308,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:36.959,39.0,5.81,45.17,2.617,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:38.271,39.1,6.52,45.25,3.929,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:39.586,39.2,14.28,45.27,5.244,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:40.895,39.2,4.44,45.21,6.553,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:42.204,39.2,4.59,45.26,7.862,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:43.506,39.5,4.65,45.21,9.164,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:44.824,39.5,6.66,45.26,10.482,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:46.124,39.6,5.68,45.28,11.782,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:47.430,39.6,5.81,45.2,13.088,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:48.732,39.6,5.68,45.23,14.39,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:50.042,39.8,5.68,45.15,15.7,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:51.363,39.8,5.68,44.82,17.021,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:52.665,39.9,4.81,44.9,18.323,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
00:59:53.980,39.9,6.74,44.82,19.638,Idle_buffer,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,System,1
