Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:45:00.788,2.42,0.0,0.03,0.13,0.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:01.813,2.43,0.02,0.17,0.86,1.025,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:02.797,2.42,0.0,0.03,0.13,2.009,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:03.789,2.42,0.01,0.07,0.37,3.001,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:04.813,2.42,0.0,0.03,0.13,4.025,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:05.797,2.41,-0.0,-0.02,-0.11,5.009,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:06.784,2.43,0.01,0.12,0.62,5.996,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:07.806,2.41,-0.0,-0.02,-0.11,7.018,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:08.791,2.42,0.0,0.03,0.13,8.003,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:09.808,2.41,-0.01,-0.07,-0.36,9.02,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:10.797,2.42,0.0,0.03,0.13,10.009,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:11.817,2.43,0.01,0.12,0.62,11.029,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:12.804,2.43,0.01,0.12,0.62,12.016,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
