Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:45:00.547,49.9,33.3,18.3005,0.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:01.781,50.5,14.3,18.2949,1.234,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:03.013,50.5,14.3,18.322,2.466,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:04.271,50.5,25.0,18.3212,3.724,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:05.537,49.9,26.7,18.3212,4.99,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:06.770,50.5,25.0,18.3483,6.223,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:08.003,50.5,25.0,18.3539,7.456,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:09.236,50.5,30.0,18.3483,8.689,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:10.498,50.5,25.0,18.3474,9.951,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:11.766,50.5,25.0,18.3474,11.219,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:12.999,50.5,12.5,18.353,12.452,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:14.234,50.5,33.3,18.353,13.687,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:15.468,50.5,25.0,18.3746,14.921,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:16.732,50.5,25.0,18.3746,16.185,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:17.967,51.0,25.0,18.3522,17.42,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:19.201,50.5,30.0,18.3466,18.654,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:20.436,50.5,22.2,18.325,19.889,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:21.670,50.5,25.0,18.2708,21.123,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:22.949,49.4,23.1,17.8131,22.402,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
02:45:24.217,49.9,31.3,17.8402,23.67,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,System,1
