Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
09:22:23.000,49.0,53.0,48.0,48.0,53.0,15.3,12.2,0.2,0.0,0.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:26.000,46.0,46.0,46.0,46.0,46.0,4.0,1.6,0.0,0.0,3.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:29.000,46.0,46.0,46.0,46.0,46.0,4.2,1.7,0.0,0.0,6.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:32.000,43.0,43.0,43.0,43.0,43.0,3.6,1.2,0.0,0.0,9.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:35.000,46.0,46.0,45.0,46.0,46.0,4.2,1.8,0.0,0.0,12.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:38.000,44.0,44.0,44.0,44.0,44.0,3.9,1.5,0.0,0.0,15.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:41.000,42.0,42.0,42.0,42.0,42.0,4.0,1.6,0.0,0.0,18.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:44.000,45.0,45.0,45.0,45.0,45.0,5.8,3.3,0.0,0.0,21.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:47.000,40.0,40.0,40.0,40.0,40.0,3.6,1.2,0.0,0.0,24.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:50.000,44.0,44.0,44.0,44.0,44.0,3.5,1.1,0.0,0.0,27.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:53.000,45.0,43.0,45.0,45.0,45.0,3.7,1.3,0.0,0.0,30.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:56.000,39.0,39.0,39.0,39.0,39.0,3.4,1.1,0.0,0.0,33.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:22:59.000,46.0,46.0,46.0,46.0,46.0,4.6,2.2,0.0,0.0,36.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:02.000,41.0,41.0,41.0,41.0,41.0,3.8,1.4,0.0,0.0,39.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:05.000,44.0,44.0,44.0,44.0,44.0,3.8,1.4,0.0,0.0,42.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:08.000,44.0,44.0,44.0,44.0,44.0,4.1,1.7,0.0,0.0,45.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:11.000,42.0,42.0,42.0,42.0,42.0,3.8,1.4,0.0,0.0,48.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:14.000,45.0,45.0,44.0,44.0,44.0,3.9,1.5,0.0,0.0,51.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:17.000,42.0,42.0,42.0,42.0,42.0,3.5,1.1,0.0,0.0,54.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:20.000,44.0,44.0,44.0,44.0,44.0,3.8,1.4,0.0,0.0,57.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:23.000,44.0,44.0,44.0,44.0,44.0,4.0,1.6,0.0,0.0,60.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:26.000,45.0,45.0,45.0,45.0,45.0,3.8,1.4,0.0,0.0,63.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:29.000,44.0,44.0,44.0,44.0,43.0,3.8,1.4,0.0,0.0,66.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:32.000,42.0,42.0,42.0,42.0,42.0,3.3,0.8,0.0,0.0,69.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:23:35.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0,72.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
