Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
11:51:33.000,64.0,71.0,62.0,63.0,68.0,20.3,15.0,0.1,12.7,48.5,58.0,0.0,2.4,0.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:35.000,58.0,60.0,67.0,59.0,67.0,19.7,13.9,0.2,11.2,48.5,58.0,0.0,2.4,2.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:37.000,65.0,64.0,56.0,58.0,65.0,19.7,14.9,0.0,9.6,48.7,0.0,0.0,2.4,4.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:39.000,54.0,55.0,56.0,54.0,64.0,14.2,9.7,0.0,8.6,48.7,0.0,0.0,2.4,6.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:41.000,63.0,55.0,56.0,55.0,63.0,15.2,10.7,0.0,10.2,48.6,0.0,0.0,2.4,8.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:43.000,63.0,55.0,54.0,55.0,63.0,15.9,11.4,0.0,7.9,48.6,0.0,0.0,2.4,10.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:45.000,52.0,52.0,52.0,52.0,58.0,14.6,9.7,0.0,10.4,48.1,0.0,0.0,2.4,12.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:47.000,54.0,66.0,52.0,56.0,65.0,13.9,9.2,0.1,8.3,48.1,0.0,0.0,2.4,14.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:49.000,52.0,55.0,53.0,53.0,58.0,15.7,11.2,0.0,9.7,48.1,0.0,0.0,2.4,16.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:51.000,53.0,53.0,54.0,54.0,58.0,15.4,10.8,0.0,9.5,48.1,0.0,0.0,2.4,18.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:53.000,51.0,55.0,54.0,55.0,58.0,14.5,9.9,0.0,8.2,48.0,58.0,0.0,2.4,20.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:55.000,53.0,53.0,53.0,52.0,58.0,15.0,10.2,0.0,9.2,48.0,58.0,0.0,2.4,22.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:57.000,61.0,55.0,56.0,52.0,61.0,14.3,9.8,0.0,9.4,47.9,0.0,0.0,2.4,24.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:51:59.000,60.0,55.0,54.0,52.0,60.0,15.2,10.8,0.0,8.3,47.9,0.0,0.0,2.4,26.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:01.000,62.0,53.0,54.0,52.0,62.0,15.1,10.5,0.0,9.9,47.9,0.0,0.0,2.4,28.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:03.000,65.0,53.0,54.0,52.0,65.0,16.1,11.6,0.0,9.0,47.9,0.0,0.0,2.4,30.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:05.000,53.0,53.0,52.0,52.0,57.0,15.1,10.4,0.0,8.0,47.9,0.0,0.0,2.4,32.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:07.000,52.0,53.0,52.0,52.0,57.0,15.3,10.6,0.0,8.6,47.8,0.0,0.0,2.4,34.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:09.000,52.0,53.0,52.0,51.0,57.0,16.1,11.2,0.0,9.4,47.8,0.0,0.0,2.4,36.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:11.000,52.0,53.0,54.0,55.0,58.0,13.9,9.5,0.0,8.3,47.8,0.0,0.0,2.4,38.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:13.000,52.0,52.0,52.0,52.0,58.0,7.6,3.5,0.1,4.2,47.8,0.0,0.0,2.4,40.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:15.000,54.0,57.0,55.0,63.0,63.0,13.9,9.4,0.0,8.5,47.8,0.0,0.0,2.4,42.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:17.000,56.0,58.0,61.0,57.0,61.0,15.5,11.1,0.0,7.5,47.8,0.0,0.0,2.4,44.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:19.000,63.0,53.0,54.0,51.0,63.0,14.9,10.2,0.0,8.7,47.8,0.0,0.0,2.4,46.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:21.000,51.0,64.0,54.0,57.0,64.0,14.2,9.6,0.0,7.9,47.9,0.0,0.0,2.4,48.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:23.000,61.0,58.0,58.0,55.0,61.0,15.2,10.8,0.0,8.6,47.8,0.0,0.0,2.4,50.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:25.000,53.0,56.0,55.0,52.0,57.0,14.8,10.5,0.0,11.0,47.8,0.0,0.0,2.4,52.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:52:27.000,52.0,64.0,52.0,54.0,60.0,15.4,10.9,0.0,10.2,47.8,0.0,0.0,2.4,54.0,Idle,Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
