Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
09:35:53.000,63.0,62.0,61.0,55.0,62.0,19.2,14.5,0.0,11.8,66.3,0.0,86.0,2.4,0.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:35:55.000,54.0,54.0,49.0,50.0,55.0,13.3,9.0,0.1,9.3,66.3,0.0,86.0,2.4,2.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:35:57.000,56.0,50.0,50.0,48.0,56.0,13.1,9.1,0.0,10.6,66.3,0.0,86.0,2.4,4.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:35:59.000,51.0,61.0,48.0,52.0,61.0,14.7,10.4,0.0,14.5,66.0,0.0,86.0,2.4,6.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:01.000,47.0,60.0,48.0,52.0,60.0,13.9,9.9,0.0,8.3,65.9,0.0,86.0,2.4,8.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:03.000,55.0,52.0,50.0,48.0,55.0,13.3,9.1,0.1,7.9,65.9,0.0,86.0,2.4,10.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:05.000,55.0,66.0,50.0,49.0,66.0,14.0,9.8,0.0,8.2,65.8,0.0,86.0,2.4,12.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:07.000,60.0,51.0,49.0,48.0,67.0,12.7,8.8,0.0,9.6,65.8,0.0,86.0,2.4,14.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:09.000,55.0,50.0,50.0,48.0,56.0,12.8,8.6,0.0,8.7,65.7,0.0,86.0,2.4,16.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:11.000,55.0,49.0,49.0,47.0,55.0,13.7,9.5,0.0,11.1,65.8,0.0,86.0,2.4,18.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:13.000,53.0,57.0,47.0,49.0,57.0,13.0,9.0,0.1,10.0,65.7,0.0,86.0,2.4,20.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:15.000,56.0,52.0,49.0,48.0,58.0,13.7,9.4,0.0,9.1,65.7,0.0,86.0,2.4,22.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:17.000,54.0,49.0,49.0,48.0,54.0,12.5,8.5,0.0,8.3,65.7,0.0,86.0,2.4,24.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:19.000,50.0,49.0,49.0,47.0,53.0,14.2,10.2,0.0,7.7,65.6,0.0,86.0,2.4,26.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:21.000,53.0,57.0,47.0,49.0,58.0,13.8,9.7,0.0,12.2,65.7,0.0,86.0,2.4,28.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:23.000,54.0,49.0,49.0,48.0,54.0,13.7,9.7,0.1,8.5,65.7,0.0,86.0,2.4,30.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:25.000,45.0,60.0,46.0,50.0,60.0,13.1,8.9,0.1,7.3,65.8,0.0,86.0,2.4,32.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:27.000,58.0,49.0,49.0,47.0,59.0,12.8,8.6,0.1,10.0,65.7,0.0,86.0,2.4,34.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:29.000,59.0,48.0,49.0,47.0,59.0,14.2,10.0,0.0,9.9,65.6,0.0,86.0,2.4,36.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
09:36:31.000,59.0,50.0,48.0,47.0,59.0,11.9,8.0,0.1,11.8,65.6,0.0,86.0,2.4,38.0,Idle,Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
