Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
16:02:04.000,55.0,57.0,47.0,48.0,57.0,17.7,13.3,0.1,11.9,66.5,0.0,0.0,2.4,0.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:06.000,49.0,61.0,46.0,50.0,61.0,16.8,12.5,0.0,9.5,66.6,0.0,0.0,2.4,2.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:08.000,55.0,47.0,47.0,46.0,55.0,16.7,12.3,0.1,9.5,66.6,0.0,0.0,2.4,4.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:10.000,58.0,49.0,47.0,46.0,55.0,14.0,9.8,0.0,8.9,66.6,0.0,0.0,2.4,6.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:12.000,53.0,53.0,47.0,46.0,55.0,14.2,10.0,0.1,8.3,66.5,0.0,0.0,2.4,8.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:14.000,45.0,46.0,45.0,46.0,51.0,15.6,11.3,0.0,8.5,66.5,0.0,0.0,2.4,10.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:16.000,43.0,58.0,43.0,48.0,58.0,15.0,10.8,0.1,8.2,66.5,0.0,0.0,2.4,12.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:18.000,44.0,45.0,43.0,47.0,51.0,13.8,9.5,0.1,8.9,66.5,0.0,0.0,2.4,14.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:20.000,46.0,46.0,46.0,44.0,50.0,13.4,9.3,0.1,8.1,66.4,0.0,0.0,2.4,16.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
16:02:22.000,43.0,46.0,43.0,46.0,51.0,13.0,8.8,0.1,9.2,66.3,50.0,0.0,2.4,18.0,Idle,Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
