Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
00:21:28.000,39.0,46.0,40.0,41.0,46.0,9.5,4.2,0.1,11.8,64.9,44.0,0.0,2.4,0.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:30.000,38.0,40.0,39.0,39.0,45.0,10.7,5.4,0.2,24.0,64.7,44.0,0.0,2.4,2.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:32.000,39.0,38.0,39.0,39.0,44.0,5.4,1.4,0.1,5.3,64.7,44.0,0.0,2.4,4.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:34.000,39.0,39.0,37.0,39.0,45.0,5.0,0.9,0.2,5.8,64.7,44.0,0.0,2.4,6.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:36.000,38.0,39.0,37.0,39.0,45.0,5.1,0.8,0.2,4.8,64.7,44.0,0.0,2.4,8.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:38.000,38.0,39.0,37.0,38.0,44.0,4.5,1.2,0.1,4.7,64.7,0.0,0.0,2.4,10.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:40.000,40.0,39.0,42.0,39.0,44.0,6.1,2.8,0.0,8.4,64.6,44.0,0.0,2.4,12.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:42.000,39.0,39.0,37.0,39.0,45.0,4.9,0.8,0.2,3.5,64.6,44.0,0.0,2.4,14.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:44.000,39.0,40.0,38.0,38.0,45.0,4.2,1.0,0.1,4.7,64.6,0.0,0.0,2.4,16.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:46.000,40.0,40.0,37.0,38.0,45.0,7.2,3.6,0.0,11.3,64.4,45.0,0.0,2.4,18.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:48.000,39.0,38.0,37.0,39.0,45.0,5.0,1.0,0.2,4.9,64.4,44.0,0.0,2.4,20.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:50.000,39.0,40.0,37.0,38.0,44.0,5.4,1.4,0.1,5.3,64.5,44.0,0.0,2.4,22.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:52.000,38.0,38.0,39.0,39.0,45.0,4.8,0.8,0.2,3.7,64.5,44.0,0.0,2.4,24.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:54.000,39.0,38.0,37.0,38.0,44.0,4.8,0.8,0.2,4.5,64.5,44.0,0.0,2.4,26.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:56.000,38.0,39.0,39.0,38.0,45.0,5.1,0.8,0.2,4.6,64.5,44.0,0.0,2.4,28.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:21:58.000,39.0,39.0,40.0,39.0,45.0,5.9,2.4,0.1,7.7,64.6,44.0,0.0,2.4,30.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:00.000,39.0,38.0,37.0,38.0,45.0,6.3,1.8,0.1,6.8,64.5,45.0,0.0,2.4,32.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:02.000,39.0,39.0,39.0,38.0,45.0,4.7,0.7,0.2,3.9,64.5,45.0,0.0,2.4,34.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:04.000,40.0,41.0,37.0,40.0,45.0,6.2,1.8,0.1,5.6,64.6,44.0,0.0,2.4,36.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:06.000,39.0,39.0,39.0,39.0,45.0,4.8,0.7,0.2,3.3,64.5,45.0,0.0,2.4,38.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:08.000,39.0,39.0,37.0,38.0,45.0,5.3,1.0,0.2,3.1,64.5,45.0,0.0,2.4,40.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:10.000,39.0,40.0,39.0,40.0,45.0,5.7,2.3,0.1,8.7,64.5,0.0,0.0,2.4,42.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:12.000,39.0,39.0,37.0,38.0,45.0,4.9,0.7,0.2,3.0,64.5,45.0,0.0,2.4,44.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:14.000,38.0,39.0,39.0,38.0,46.0,5.1,0.8,0.2,2.7,64.5,45.0,0.0,2.4,46.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:16.000,40.0,39.0,39.0,39.0,45.0,6.0,2.7,0.1,7.0,64.5,0.0,0.0,2.4,48.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:18.000,43.0,39.0,40.0,39.0,45.0,5.9,2.0,0.1,5.5,64.4,0.0,0.0,2.4,50.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:20.000,39.0,39.0,39.0,38.0,45.0,4.9,0.8,0.2,3.9,64.4,45.0,0.0,2.4,52.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:22.000,39.0,39.0,37.0,39.0,46.0,4.9,0.9,0.2,3.4,64.4,45.0,0.0,2.4,54.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:24.000,38.0,39.0,37.0,39.0,45.0,4.9,0.9,0.2,2.9,64.4,45.0,0.0,2.4,56.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:26.000,38.0,40.0,39.0,39.0,45.0,4.7,0.8,0.2,2.6,64.4,45.0,0.0,2.4,58.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:28.000,38.0,40.0,38.0,38.0,46.0,5.3,1.2,0.2,5.5,64.5,45.0,0.0,2.4,60.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:30.000,38.0,38.0,38.0,39.0,45.0,4.3,1.2,0.1,7.4,64.5,0.0,0.0,2.4,62.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:32.000,39.0,39.0,38.0,38.0,45.0,6.0,2.7,0.1,9.4,64.5,45.0,0.0,2.4,64.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:34.000,38.0,39.0,37.0,39.0,46.0,5.7,2.3,0.1,7.3,64.4,45.0,0.0,2.4,66.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:36.000,39.0,39.0,39.0,39.0,46.0,4.9,0.8,0.2,4.4,64.4,45.0,0.0,2.4,68.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:38.000,40.0,39.0,37.0,38.0,46.0,5.4,1.3,0.1,6.3,64.4,45.0,0.0,2.4,70.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:40.000,39.0,39.0,38.0,38.0,47.0,5.1,1.0,0.2,5.9,64.4,45.0,0.0,2.4,72.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:42.000,38.0,39.0,38.0,38.0,46.0,5.0,0.8,0.2,3.1,64.4,45.0,0.0,2.4,74.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:44.000,38.0,40.0,38.0,39.0,46.0,5.0,0.8,0.2,3.5,64.4,45.0,0.0,2.4,76.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:46.000,40.0,39.0,39.0,40.0,45.0,5.9,2.5,0.0,7.2,64.4,0.0,0.0,2.4,78.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:48.000,38.0,40.0,38.0,38.0,46.0,4.3,1.1,0.1,3.9,64.4,0.0,0.0,2.4,80.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:50.000,41.0,42.0,41.0,40.0,46.0,6.7,3.4,0.0,12.5,64.4,45.0,0.0,2.4,82.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:52.000,39.0,40.0,37.0,40.0,46.0,5.9,2.5,0.1,7.8,64.3,45.0,0.0,2.4,84.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:54.000,39.0,39.0,37.0,38.0,46.0,5.0,0.8,0.2,5.7,64.3,45.0,0.0,2.4,86.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:56.000,42.0,40.0,40.0,39.0,46.0,4.8,0.8,0.2,4.0,64.3,45.0,0.0,2.4,88.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:22:58.000,38.0,39.0,39.0,39.0,46.0,5.0,0.9,0.2,3.4,64.3,45.0,0.0,2.4,90.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:23:00.000,39.0,39.0,40.0,40.0,46.0,5.4,1.2,0.1,6.5,64.3,45.0,0.0,2.4,92.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
00:23:02.000,39.0,40.0,37.0,39.0,47.0,5.0,0.8,0.2,3.4,64.4,0.0,0.0,2.4,94.0,Idle,Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
