Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
11:06:34.000,71.0,70.0,67.0,69.0,71.0,17.9,14.8,0.2,27.9,51.1,0.0,0.0,2.0,0.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:36.000,67.0,67.0,65.0,66.0,67.0,7.7,5.0,0.0,10.7,51.1,0.0,0.0,2.0,2.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:38.000,60.0,60.0,60.0,60.0,60.0,3.3,0.8,0.0,0.6,50.8,0.0,0.0,2.0,4.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:40.000,65.0,65.0,65.0,65.0,65.0,4.0,1.5,0.0,3.5,50.8,0.0,0.0,2.0,6.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:42.000,60.0,60.0,60.0,60.0,60.0,5.5,2.9,0.0,5.9,50.8,0.0,0.0,2.0,8.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:44.000,63.0,63.0,63.0,63.0,63.0,13.4,9.1,1.1,34.2,51.0,0.0,0.0,2.0,10.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:46.000,66.0,66.0,63.0,64.0,66.0,14.1,10.1,0.9,31.9,51.5,0.0,0.0,2.0,12.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:48.000,59.0,59.0,59.0,59.0,65.0,5.3,2.4,0.2,16.2,51.4,0.0,0.0,2.0,14.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:50.000,64.0,67.0,63.0,65.0,67.0,8.5,5.3,0.3,16.1,51.2,0.0,0.0,2.0,16.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
11:06:52.000,66.0,71.0,66.0,68.0,71.0,15.8,12.0,0.7,33.6,51.4,0.0,0.0,2.0,18.0,Idle,Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
