Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),CPU Usage (%),Memory Usage (%),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
11:55:03.000,41.0,42.0,39.0,40.0,46.0,8.7,4.3,0.1,4.7,63.9,43.0,0.0,2.4,0.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:05.000,39.0,39.0,38.0,38.0,46.0,4.6,1.3,0.1,3.9,63.9,0.0,0.0,2.4,2.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:07.000,39.0,39.0,38.0,38.0,45.0,4.5,1.1,0.1,2.9,63.4,43.0,0.0,2.4,4.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:09.000,40.0,46.0,40.0,40.0,46.0,6.4,2.4,0.1,5.5,63.1,0.0,0.0,2.4,6.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:11.000,40.0,41.0,41.0,40.0,46.0,6.0,1.9,0.1,4.3,63.2,43.0,0.0,2.4,8.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:13.000,39.0,39.0,37.0,39.0,45.0,5.4,1.7,0.0,5.2,58.1,43.0,0.0,2.4,10.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:15.000,39.0,40.0,38.0,38.0,46.0,6.3,3.2,0.0,4.7,58.1,0.0,0.0,2.4,12.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:17.000,39.0,42.0,37.0,39.0,45.0,4.8,1.8,0.0,2.8,58.1,44.0,0.0,2.4,14.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:19.000,39.0,39.0,38.0,38.0,46.0,3.9,1.1,0.1,1.3,58.0,0.0,0.0,2.4,16.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:21.000,43.0,40.0,39.0,38.0,46.0,6.1,3.0,0.0,5.8,57.9,44.0,0.0,2.4,18.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:23.000,38.0,40.0,40.0,38.0,45.0,6.0,2.8,0.0,5.2,57.9,0.0,0.0,2.4,20.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:25.000,41.0,39.0,38.0,38.0,46.0,4.8,1.8,0.0,4.3,57.9,44.0,0.0,2.4,22.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:27.000,40.0,39.0,37.0,38.0,44.0,6.2,3.0,0.0,5.2,57.9,44.0,0.0,2.4,24.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:29.000,39.0,40.0,38.0,39.0,45.0,6.0,2.8,0.0,5.4,57.8,0.0,0.0,2.4,26.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:31.000,38.0,39.0,37.0,39.0,45.0,4.0,1.1,0.1,2.0,57.8,0.0,0.0,2.4,28.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:33.000,40.0,39.0,41.0,42.0,45.0,5.7,2.5,0.0,4.1,57.8,44.0,0.0,2.4,30.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:35.000,39.0,39.0,37.0,39.0,45.0,5.9,2.8,0.0,6.4,57.8,0.0,0.0,2.4,32.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
11:55:37.000,39.0,39.0,38.0,38.0,45.0,3.9,1.0,0.1,2.1,57.8,0.0,0.0,2.4,34.0,Idle,Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,Open Hardware Monitor,1
