Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
0.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
1.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
2.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
3.0,44.303,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
4.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
5.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
6.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
7.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
8.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
9.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
10.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
11.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
12.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
13.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
14.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
15.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
16.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
17.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
18.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
19.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
20.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
21.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
22.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
