Timestamp,CPU Usage User (%),CPU Usage System (%),CPU Usage Wait (%),Processes Runnable,Processes Blocked,Process Switches,Process Forks,Process Execs,Network lo Received (Ko/s),Network eth0 Received (Ko/s),Network wlan0 Received (Ko/s),Network lo Sent (Ko/s),Network eth0 Sent (Ko/s),Network wlan0 Sent (Ko/s),Network Packet lo Received,Network Packet eth0 Received,Network Packet wlan0 Received,Network Packet lo Sent,Network Packet eth0 Sent,Network Packet wlan0 Sent,Disk mmcblk0 Usage (%),Disk mmcblk0p1 Usage (%),Disk mmcblk0p2 Usage (%),Disk mmcblk0 Read (Ko/s),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk0 Block Size (Ko),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0 Transfers,Disk mmcblk0p1 Transfers,Disk mmcblk0p2 Transfers,JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),JFS boot/firmware Usage (%),Relative Time (s),CPU Usage (%),Memory Usage (%),Memory Active (%),Memory Buffers (%),Memory Cached (%),Memory Inactive (%),Mode,Attack Type,Attack,Host,Measurement,Run
14:21:20.000,0.8,2.9,1.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,7.3,1996.2,0.0,1996.2,22.6,0.0,22.6,60.9,0.0,60.9,33.2,0.0,33.2,0.0,0.2,8.5,28.0,0.0,4.900000000000006,5.695500633713557,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:21.000,0.2,0.2,0.0,1,0,88.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,1.0,0.5,5.703422053231943,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:22.000,0.0,0.2,0.0,1,0,86.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,2.0,0.20000000000000284,5.70870299957752,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:23.000,0.0,0.0,0.0,1,0,84.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,3.0,0.0,5.716624419095906,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:24.000,0.0,0.5,0.2,1,0,117.7,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,95.8,48.0,0.0,48.0,2.0,0.0,2.0,0.0,0.2,8.5,28.0,4.0,0.7000000000000028,5.721905365441482,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:25.000,0.0,0.2,0.0,1,0,107.7,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,12.0,6.0,0.0,6.0,2.0,0.0,2.0,0.0,0.2,8.5,28.0,5.0,0.20000000000000284,5.729826784959869,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:26.000,0.0,0.0,0.0,1,0,89.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,6.0,0.0,5.735107731305444,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.814005069708492,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:27.000,0.0,0.5,0.0,1,0,83.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,7.0,0.5,5.748310097169407,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:28.000,0.2,0.0,0.0,1,0,96.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,8.0,0.20000000000000284,5.748310097169407,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.814005069708492,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:29.000,0.0,0.2,0.0,1,0,85.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,9.0,0.20000000000000284,5.756231516687793,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:30.000,0.0,0.2,0.0,1,0,102.6,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,23.9,12.0,0.0,12.0,2.0,0.0,2.0,0.0,0.2,8.5,28.0,10.0,0.20000000000000284,5.76151246303337,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.814005069708492,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:31.000,0.0,0.2,0.0,1,0,108.7,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,0.2,8.5,28.0,11.0,0.20000000000000284,5.766793409378956,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.8166455428812844,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:32.000,0.2,0.2,0.0,1,0,96.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,12.0,0.5,5.77735530207012,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.814005069708492,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
14:21:33.000,0.0,0.0,0.0,1,0,83.8,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.5,28.0,13.0,0.0,5.77735530207012,1.2753485424588085,0.3010139416983524,2.2047950992817915,1.819286016054077,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,nmon,1
