Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
0.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
1.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
2.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
3.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
4.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
5.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
6.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
7.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
8.0,38.459,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
9.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
10.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
11.0,38.459,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
12.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
13.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
14.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
15.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
16.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
17.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
18.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
19.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
20.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
21.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
22.0,38.946,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
23.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
24.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
