Relative Time (s),Current (A),Power (W),Mode,Attack Type,Attack,Host,Measurement,Run
0.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
1.0,0.633,3.165,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
2.0,0.633,3.165,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
3.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
4.0,0.541,2.705,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
5.0,0.336,1.6800000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
6.0,0.435,2.175,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
7.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
8.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
9.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
10.0,0.402,2.0100000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
11.0,0.389,1.945,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
12.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
13.0,0.369,1.845,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
14.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
15.0,0.257,1.2850000000000001,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
16.0,0.422,2.11,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
17.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
18.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
19.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
20.0,0.343,1.715,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
21.0,0.475,2.375,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
22.0,0.409,2.045,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
23.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
24.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
25.0,0.409,2.045,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
26.0,0.508,2.54,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
27.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
28.0,0.475,2.375,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
29.0,0.415,2.0749999999999997,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
30.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
31.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
32.0,0.382,1.9100000000000001,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
33.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
34.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
35.0,0.501,2.505,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
36.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
37.0,0.541,2.705,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
38.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
39.0,0.633,3.165,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
40.0,0.508,2.54,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
41.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
42.0,0.422,2.11,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
43.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
44.0,0.402,2.0100000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
45.0,0.382,1.9100000000000001,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
46.0,0.429,2.145,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
47.0,0.547,2.7350000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
48.0,0.508,2.54,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
49.0,0.349,1.7449999999999999,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
50.0,0.422,2.11,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
51.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
52.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
53.0,0.64,3.2,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
54.0,0.475,2.375,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
55.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
56.0,0.349,1.7449999999999999,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
57.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
58.0,0.363,1.815,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
59.0,0.415,2.0749999999999997,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
60.0,0.627,3.135,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
61.0,0.429,2.145,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
62.0,0.547,2.7350000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
63.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
64.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
65.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
66.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
67.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
68.0,0.336,1.6800000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
69.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
70.0,0.389,1.945,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
71.0,0.429,2.145,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
72.0,0.376,1.88,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
73.0,0.58,2.9,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
74.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
75.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
76.0,0.481,2.405,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
77.0,0.396,1.98,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
78.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
79.0,0.33,1.6500000000000001,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
80.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
81.0,0.402,2.0100000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
82.0,0.541,2.705,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
83.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
84.0,0.6,3.0,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
85.0,0.33,1.6500000000000001,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
86.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
87.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
88.0,0.653,3.265,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
89.0,0.481,2.405,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
90.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
91.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
92.0,0.376,1.88,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
93.0,0.475,2.375,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
94.0,0.547,2.7350000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
95.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
96.0,0.396,1.98,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
97.0,0.521,2.605,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
98.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
99.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
100.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
101.0,0.409,2.045,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
102.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
103.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
104.0,0.653,3.265,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
105.0,0.349,1.7449999999999999,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
106.0,0.587,2.9349999999999996,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
107.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
108.0,0.435,2.175,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
109.0,0.567,2.835,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
110.0,0.409,2.045,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
111.0,0.501,2.505,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
112.0,0.415,2.0749999999999997,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
113.0,0.481,2.405,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
114.0,0.528,2.64,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
115.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
116.0,0.475,2.375,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
117.0,0.323,1.615,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
118.0,0.435,2.175,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
119.0,0.389,1.945,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
120.0,0.613,3.065,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
121.0,0.435,2.175,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
122.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
123.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
124.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
125.0,0.541,2.705,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
126.0,0.488,2.44,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
127.0,0.554,2.7700000000000005,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
128.0,0.547,2.7350000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
129.0,0.429,2.145,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
130.0,0.369,1.845,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
131.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
132.0,0.343,1.715,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
133.0,0.336,1.6800000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
134.0,0.554,2.7700000000000005,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
135.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
136.0,0.495,2.475,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
137.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
138.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
139.0,0.415,2.0749999999999997,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
140.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
141.0,0.336,1.6800000000000002,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
142.0,0.455,2.275,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
143.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
144.0,0.561,2.805,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
145.0,0.462,2.31,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
146.0,0.31,1.55,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
147.0,0.468,2.3400000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
148.0,0.495,2.475,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
149.0,0.514,2.5700000000000003,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
150.0,0.501,2.505,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
151.0,0.693,3.465,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
152.0,0.448,2.24,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
153.0,0.363,1.815,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
154.0,0.422,2.11,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
155.0,0.567,2.835,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
156.0,0.58,2.9,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
157.0,0.534,2.67,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
158.0,0.422,2.11,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
159.0,0.442,2.21,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
160.0,0.415,2.0749999999999997,Idle,Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,ACS712,1
