Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:32:00.287,44.3,0.0,2.64496,0.0,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:01.475,44.3,0.0,2.64831,1.188,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:02.696,44.8,30.0,2.64821,2.409,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:03.925,44.8,25.0,2.65116,3.638,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:05.163,44.3,33.3,2.65616,4.876,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:06.394,43.8,22.2,2.65241,6.107,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:07.626,43.8,22.2,2.64361,7.339,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:08.860,45.2,30.0,2.63565,8.573,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:10.090,45.2,30.0,2.631,9.803,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:11.331,43.8,22.2,2.64045,11.044,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:12.561,43.3,33.3,2.64361,12.274,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:13.802,43.8,22.2,2.64666,13.515,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:15.037,44.3,22.2,2.6371,14.75,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:16.265,44.3,30.0,2.64786,15.978,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:17.492,43.8,14.3,2.64341,17.205,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:18.720,43.8,25.0,2.64045,18.433,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:19.962,43.3,22.2,2.64331,19.675,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:21.201,42.8,25.0,2.64716,20.914,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:22.428,44.3,22.2,2.65586,22.141,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:23.661,44.3,22.2,2.65161,23.374,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:24.894,44.3,25.0,2.65401,24.607,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:26.127,44.3,37.5,2.65706,25.84,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:27.354,43.8,22.2,2.65706,27.067,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:28.581,44.3,22.2,2.65076,28.294,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:29.810,44.8,22.2,2.65391,29.523,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:31.035,43.8,22.2,2.65836,30.748,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:32.264,43.3,33.3,2.65706,31.977,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:33.498,44.8,25.0,2.64956,33.211,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:34.726,43.3,30.0,2.64956,34.439,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:35.955,43.8,25.0,2.6338,35.668,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:37.182,43.8,22.2,2.63675,36.895,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:38.414,44.3,30.0,2.63795,38.127,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:39.646,43.3,22.2,2.64946,39.359,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:40.874,43.8,30.0,2.64946,40.587,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:42.104,44.3,14.3,2.6352,41.817,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:43.328,43.8,28.6,2.65241,43.041,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:44.561,44.8,28.6,2.65121,44.274,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:45.791,44.3,25.0,2.65121,45.504,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:47.031,44.3,30.0,2.64531,46.744,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:48.264,44.3,22.2,2.65456,47.977,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:49.495,43.8,30.0,2.65566,49.208,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:50.722,43.8,30.0,2.65581,50.435,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:51.950,44.3,25.0,2.65266,51.663,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
