Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W),Mode,Attack Type,Attack,Host,Measurement,Run
15:09:46.000,0.0,2.39,0.62,3.09,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:47.000,0.83,2.39,0.62,3.08,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:48.000,1.93,2.38,0.63,3.13,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:49.000,3.04,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:50.000,4.14,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:52.000,5.24,2.4,0.56,2.8,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:53.000,6.34,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:54.000,7.44,2.41,0.51,2.56,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:55.000,8.54,2.39,0.6,3.01,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:56.000,9.65,2.39,0.6,3.01,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:57.000,10.75,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:58.000,11.85,2.39,0.59,2.95,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:09:59.000,12.95,2.41,0.51,2.55,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:00.000,14.05,2.39,0.6,2.99,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:01.000,15.16,2.39,0.58,2.92,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:03.000,16.26,2.41,0.5,2.51,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:04.000,17.36,2.38,0.65,3.24,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:05.000,18.46,2.4,0.55,2.77,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:06.000,19.56,2.4,0.52,2.59,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:07.000,20.66,2.41,0.49,2.46,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:08.000,21.76,2.4,0.56,2.81,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:09.000,22.86,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:10.000,23.97,2.41,0.51,2.54,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:11.000,25.07,2.4,0.52,2.6,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:12.000,26.17,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:14.000,27.27,2.4,0.52,2.62,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:15.000,28.37,2.39,0.62,3.08,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:16.000,29.47,2.4,0.55,2.76,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:17.000,30.58,2.39,0.6,2.99,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:18.000,31.68,2.39,0.6,3.01,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:19.000,32.78,2.4,0.54,2.68,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:20.000,33.88,2.4,0.54,2.68,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:21.000,34.98,2.41,0.47,2.36,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:22.000,36.09,2.4,0.52,2.6,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:24.000,37.19,2.38,0.63,3.17,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:25.000,38.29,2.39,0.6,3.01,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:26.000,39.39,2.4,0.52,2.6,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:27.000,40.49,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:28.000,41.59,2.38,0.63,3.17,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:29.000,42.7,2.39,0.6,3.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:30.000,43.8,2.4,0.53,2.63,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:31.000,44.9,2.4,0.53,2.66,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:32.000,46.0,2.4,0.54,2.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:33.000,47.1,2.39,0.58,2.92,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:35.000,48.21,2.39,0.6,2.99,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:36.000,49.31,2.39,0.6,3.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:37.000,50.41,2.39,0.61,3.04,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:38.000,51.51,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:39.000,52.61,2.4,0.54,2.68,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:40.000,53.71,2.39,0.57,2.87,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:41.000,54.82,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:42.000,55.92,2.41,0.51,2.55,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:43.000,57.02,2.38,0.67,3.34,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:44.000,58.12,2.38,0.63,3.13,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:46.000,59.22,2.42,0.46,2.29,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:47.000,60.32,2.4,0.56,2.8,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:48.000,61.43,2.41,0.49,2.46,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:49.000,62.53,2.41,0.51,2.54,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:50.000,63.63,2.4,0.54,2.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:51.000,64.73,2.4,0.55,2.73,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:52.000,65.83,2.39,0.6,3.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:53.000,66.94,2.4,0.53,2.63,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:54.000,68.04,2.4,0.55,2.76,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:55.000,69.14,2.41,0.49,2.47,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:57.000,70.24,2.41,0.51,2.54,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:58.000,71.34,2.41,0.49,2.43,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:10:59.000,72.44,2.4,0.52,2.59,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:00.000,73.54,2.41,0.51,2.54,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:01.000,74.64,2.4,0.54,2.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:02.000,75.75,2.4,0.53,2.67,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:03.000,76.85,2.39,0.59,2.96,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:04.000,77.95,2.38,0.64,3.18,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:05.000,79.05,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:06.000,80.15,2.4,0.53,2.64,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:08.000,81.25,2.41,0.5,2.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:09.000,82.36,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
15:11:10.000,83.46,2.4,0.55,2.73,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,3
