Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (%),Network (Ko/s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
15:01:43.000,0.0,0.0,22.1,0.0,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:44.000,1.01,0.0,22.1,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:45.000,2.01,0.0,22.1,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:46.000,3.01,0.0,22.1,0.0,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:47.000,4.02,0.5,22.1,0.3046875,56.4,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:49.000,5.02,0.0,22.1,0.318359375,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:50.000,6.03,0.0,22.1,0.0,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:51.000,7.04,0.5,22.1,11.021484375,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:52.000,8.05,0.0,22.1,0.23046875,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:53.000,9.06,0.0,22.1,0.791015625,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:54.000,10.07,0.0,22.1,1.798828125,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:55.000,11.08,0.5,22.1,0.115234375,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:56.000,12.09,0.0,22.1,1.4921875,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:57.000,13.1,0.0,22.1,0.0,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:58.000,14.11,0.0,21.9,0.162109375,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:01:59.000,15.12,0.0,21.9,0.087890625,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:00.000,16.13,0.5,21.9,0.0,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:01.000,17.14,0.0,21.9,0.23046875,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:02.000,18.15,0.0,21.9,0.0,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:03.000,19.15,0.5,21.9,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:04.000,20.16,0.0,21.9,0.087890625,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
15:02:05.000,21.17,0.0,21.9,0.1689453125,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,2
