Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W),Mode,Attack Type,Attack,Host,Measurement,Run
21:14:12.000,0.0,2.33,0.9,4.52,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:13.000,0.83,2.32,0.95,4.77,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:14.000,1.94,2.33,0.9,4.49,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:15.000,3.04,2.31,1.05,5.24,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:16.000,4.14,2.33,0.91,4.56,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:17.000,5.24,2.34,0.88,4.39,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:18.000,6.34,2.32,0.95,4.74,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:20.000,7.44,2.33,0.89,4.46,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:21.000,8.55,2.32,0.95,4.77,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:22.000,9.65,2.36,0.73,3.66,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:23.000,10.75,2.34,0.87,4.33,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:24.000,11.85,2.33,0.9,4.5,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:25.000,12.95,2.33,0.92,4.62,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:26.000,14.06,2.32,0.97,4.86,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:27.000,15.16,2.35,0.81,4.07,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:28.000,16.26,2.35,0.83,4.15,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:29.000,17.36,2.34,0.85,4.25,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:31.000,18.46,2.34,0.85,4.23,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:32.000,19.56,2.34,0.89,4.44,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:33.000,20.67,2.36,0.74,3.7,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:34.000,21.77,2.34,0.89,4.43,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
21:14:35.000,22.87,2.33,0.92,4.6,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,2
