Timestamp;Power (W)
01:00:00;18.7
01:00:05;20.3
01:00:10;19.0
01:00:15;20.9
01:00:20;19.0
01:00:25;18.4
01:00:30;18.4
01:00:35;19.0
01:00:40;19.0
01:00:45;18.7
01:00:50;18.7
01:00:55;18.7
01:01:00;18.7
01:01:05;20.3
01:01:10;19.3
01:01:15;19.3
01:01:20;18.4
01:01:25;18.4
01:01:30;19.0
01:01:35;19.3
01:01:40;19.0
01:01:45;18.4
01:01:50;18.7
01:01:55;18.7
01:02:00;19.0
01:02:05;18.7
01:02:10;19.3
01:02:15;19.6
01:02:20;18.7
01:02:25;18.4
01:02:30;19.0
01:02:35;18.7
01:02:40;19.0
01:02:45;20.0
01:02:50;18.7
01:02:55;19.3
01:03:00;20.6
01:03:05;40.6
01:03:10;20.6
01:03:15;20.9
01:03:20;18.4
01:03:25;17.8
01:03:30;16.9
01:03:35;17.2
01:03:40;16.9
01:03:45;17.2
01:03:50;17.8
01:03:55;17.2
01:04:00;16.6
01:04:05;16.9
01:04:10;17.8
01:04:15;19.0
01:04:20;17.2
01:04:25;16.9
01:04:30;16.0
01:04:35;16.6
01:04:40;16.6
01:04:45;18.1
01:04:50;17.2
01:04:55;16.9
01:05:00;20.0
01:05:05;24.5
01:05:10;59.6
01:05:15;60.6
01:05:20;61.2
01:05:25;61.5
01:05:30;61.8
01:05:35;62.1
01:05:40;62.7
01:05:45;63.0
01:05:50;63.3
01:05:55;63.6
01:06:00;63.9
01:06:05;64.5
01:06:10;64.2
01:06:15;64.5
01:06:20;64.8
01:06:25;64.2
01:06:30;64.8
01:06:35;64.2
01:06:40;64.8
01:06:45;64.8
01:06:50;65.1
01:06:55;65.1
01:07:00;64.8
01:07:05;65.1
01:07:10;64.8
01:07:15;64.8
01:07:20;64.8
01:07:25;65.1
01:07:30;65.1
01:07:35;64.8
01:07:40;64.8
01:07:45;65.1
01:07:50;65.4
01:07:55;65.1
01:08:00;65.4
01:08:05;65.1
01:08:10;64.8
01:08:15;64.5
01:08:20;65.1
01:08:25;65.1
01:08:30;65.1
01:08:35;64.8
01:08:40;64.8
01:08:45;65.4
01:08:50;64.8
01:08:55;65.4
01:09:00;65.1
01:09:05;65.1
01:09:10;65.1
01:09:15;64.8
01:09:20;65.4
01:09:25;65.4
01:09:30;64.8
01:09:35;64.8
01:09:40;64.8
01:09:45;65.1
01:09:50;64.8
01:09:55;65.4
01:10:00;65.1
01:10:05;30.3
01:10:10;19.6
01:10:15;20.0
01:10:20;19.6
01:10:25;18.7
01:10:30;19.0
01:10:35;18.4
01:10:40;19.0
01:10:45;17.5
01:10:50;18.1
01:10:55;18.4
01:11:00;18.4
01:11:05;17.2
01:11:10;16.9
01:11:15;17.5
01:11:20;17.8
01:11:25;19.0
01:11:30;19.3
01:11:35;16.9
01:11:40;17.5
01:11:45;18.1
01:11:50;17.5
01:11:55;18.4
01:12:00;16.9
01:12:05;17.5
01:12:10;17.8
01:12:15;18.7
01:12:20;17.2
01:12:25;17.2
01:12:30;16.6
01:12:35;17.5
01:12:40;18.1
01:12:45;17.5
01:12:50;17.8
01:12:55;16.9
01:13:00;18.1
01:13:05;18.1
01:13:10;17.5
01:13:15;20.0
01:13:20;17.8
01:13:25;18.4
01:13:30;18.7
01:13:35;17.5
01:13:40;17.5
01:13:45;17.2
01:13:50;17.5
01:13:55;18.1
01:14:00;17.2
01:14:05;17.8
01:14:10;16.6
01:14:15;17.5
01:14:20;17.8
01:14:25;18.1
01:14:30;16.9
01:14:35;16.6
01:14:40;17.5
01:14:45;18.1
01:14:50;16.9
01:14:55;18.1
01:15:00;17.2
