Timestamp;CPU Temperature (°C);CPU Usage (%);RAM Usage (%)
00:59:34.342;38.9;8.79;45.12
00:59:35.650;38.9;5.49;45.19
00:59:36.959;39.0;5.81;45.17
00:59:38.271;39.1;6.52;45.25
00:59:39.586;39.2;14.28;45.27
00:59:40.895;39.2;4.44;45.21
00:59:42.204;39.2;4.59;45.26
00:59:43.506;39.5;4.65;45.21
00:59:44.824;39.5;6.66;45.26
00:59:46.124;39.6;5.68;45.28
00:59:47.430;39.6;5.81;45.20
00:59:48.732;39.6;5.68;45.23
00:59:50.042;39.8;5.68;45.15
00:59:51.363;39.8;5.68;44.82
00:59:52.665;39.9;4.81;44.90
00:59:53.980;39.9;6.74;44.82
00:59:55.280;39.9;3.65;44.86
00:59:56.576;40.1;5.88;44.82
00:59:57.889;40.0;4.65;44.82
00:59:59.197;40.0;3.44;44.88
01:00:00.508;40.0;4.59;44.82
01:00:01.806;40.1;5.74;44.90
01:00:03.111;40.1;4.70;44.82
01:00:04.416;40.2;5.74;44.84
01:00:05.712;40.2;5.74;44.92
01:00:07.015;40.2;2.43;44.82
01:00:08.327;40.2;11.23;44.89
01:00:09.629;40.4;6.81;44.84
01:00:10.944;40.4;3.75;44.86
01:00:12.240;40.4;3.57;44.90
01:00:13.550;40.2;4.65;44.86
01:00:14.851;40.5;4.54;44.89
01:00:16.147;40.6;5.95;44.86
01:00:17.460;40.6;2.38;44.86
01:00:18.758;40.6;5.81;44.89
01:00:20.071;40.6;4.59;44.83
01:00:21.375;40.8;3.52;44.87
01:00:22.675;40.6;5.81;44.83
01:00:24.004;41.0;5.37;44.83
01:00:25.305;40.9;4.49;44.88
01:00:26.606;40.8;4.70;44.83
01:00:27.913;41.0;4.59;44.89
01:00:29.213;40.9;4.59;44.83
01:00:30.527;41.0;3.52;44.84
01:00:31.835;41.0;4.44;44.88
01:00:33.143;41.0;5.81;44.83
01:00:34.446;40.9;4.59;44.92
01:00:35.744;40.9;4.81;44.83
