Timestamp;CPU Temperature (°C);CPU Usage (%);RAM Usage (%)
02:45:00.547;49.9;33.3;18.3005
02:45:01.781;50.5;14.3;18.2949
02:45:03.013;50.5;14.3;18.322
02:45:04.271;50.5;25;18.3212
02:45:05.537;49.9;26.7;18.3212
02:45:06.770;50.5;25;18.3483
02:45:08.003;50.5;25;18.3539
02:45:09.236;50.5;30;18.3483
02:45:10.498;50.5;25;18.3474
02:45:11.766;50.5;25;18.3474
02:45:12.999;50.5;12.5;18.353
02:45:14.234;50.5;33.3;18.353
02:45:15.468;50.5;25;18.3746
02:45:16.732;50.5;25;18.3746
02:45:17.967;51.0;25;18.3522
02:45:19.201;50.5;30;18.3466
02:45:20.436;50.5;22.2;18.325
02:45:21.670;50.5;25;18.2708
02:45:22.949;49.4;23.1;17.8131
02:45:24.217;49.9;31.3;17.8402
02:45:25.451;49.9;12.5;18.0572
02:45:26.684;50.5;25;18.0572
02:45:27.917;50.5;33.3;18.0357
02:45:29.176;51.0;25;18.1115
02:45:30.412;50.5;25;18.0297
02:45:31.646;50.5;25;18.0292
02:45:32.880;50.5;25;18.0564
02:45:34.115;50.5;25;18.0564
02:45:35.381;49.9;26.7;18.0826
02:45:36.614;50.5;12.5;18.0826
02:45:37.849;50.5;25;18.0826
02:45:39.083;50.5;22.2;18.0826
02:45:40.345;50.5;25;18.0826
02:45:41.579;50.5;33.3;18.136
02:45:42.813;50.5;33.3;18.136
02:45:44.047;50.5;25;18.1903
02:45:45.280;50.5;25;18.1903
02:45:46.544;50.5;20;18.1903
02:45:47.777;50.5;25;18.167
02:45:49.009;50.5;33.3;18.139
02:45:50.241;50.5;22.2;18.1446
02:45:51.502;50.5;14.3;18.139
02:45:52.766;49.9;26.6;18.139
02:45:53.999;51.0;25;18.1382
02:45:55.231;49.9;14.3;18.1382
02:45:56.466;50.5;25;18.2196
02:45:57.725;51.0;33.3;18.2196
02:45:59.007;49.9;23.1;18.2196
02:46:00.287;49.9;25;18.2187
02:46:01.551;49.4;26.7;18.3543
02:46:02.783;50.5;25;18.3543
02:46:04.016;50.5;33.3;18.3543
02:46:05.249;49.9;12.5;18.3535
02:46:06.509;50.5;25;18.3535
02:46:07.776;49.9;20;18.3535
02:46:09.009;50.5;14.3;18.3776
02:46:10.241;50.5;25;18.4047
02:46:11.474;49.9;14.3;18.4047
02:46:12.732;50.5;22.2;18.4038
02:46:13.964;50.5;22.2;18.3823
02:46:15.198;50.5;25;18.3767
02:46:16.433;51.0;30;18.3496
