Timestamp;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Package;CPU Package Power;CPU Cores Power;CPU Graphics Power;GPU Core
2025-03-31 09:22:23;49,0 °C;53,0 °C;48,0 °C;48,0 °C;53,0 °C;15,3 W;12,2 W;0,2 W;0,0 °C
2025-03-31 09:22:26;46,0 °C;46,0 °C;46,0 °C;46,0 °C;46,0 °C;4,0 W;1,6 W;0,0 W;0,0 °C
2025-03-31 09:22:29;46,0 °C;46,0 °C;46,0 °C;46,0 °C;46,0 °C;4,2 W;1,7 W;0,0 W;0,0 °C
2025-03-31 09:22:32;43,0 °C;43,0 °C;43,0 °C;43,0 °C;43,0 °C;3,6 W;1,2 W;0,0 W;0,0 °C
2025-03-31 09:22:35;46,0 °C;46,0 °C;45,0 °C;46,0 °C;46,0 °C;4,2 W;1,8 W;0,0 W;0,0 °C
2025-03-31 09:22:38;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,9 W;1,5 W;0,0 W;0,0 °C
2025-03-31 09:22:41;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;4,0 W;1,6 W;0,0 W;0,0 °C
2025-03-31 09:22:44;45,0 °C;45,0 °C;45,0 °C;45,0 °C;45,0 °C;5,8 W;3,3 W;0,0 W;0,0 °C
2025-03-31 09:22:47;40,0 °C;40,0 °C;40,0 °C;40,0 °C;40,0 °C;3,6 W;1,2 W;0,0 W;0,0 °C
2025-03-31 09:22:50;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,5 W;1,1 W;0,0 W;0,0 °C
2025-03-31 09:22:53;45,0 °C;43,0 °C;45,0 °C;45,0 °C;45,0 °C;3,7 W;1,3 W;0,0 W;0,0 °C
2025-03-31 09:22:56;39,0 °C;39,0 °C;39,0 °C;39,0 °C;39,0 °C;3,4 W;1,1 W;0,0 W;0,0 °C
2025-03-31 09:22:59;46,0 °C;46,0 °C;46,0 °C;46,0 °C;46,0 °C;4,6 W;2,2 W;0,0 W;0,0 °C
2025-03-31 09:23:02;41,0 °C;41,0 °C;41,0 °C;41,0 °C;41,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:05;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:08;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;4,1 W;1,7 W;0,0 W;0,0 °C
2025-03-31 09:23:11;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:14;45,0 °C;45,0 °C;44,0 °C;44,0 °C;44,0 °C;3,9 W;1,5 W;0,0 W;0,0 °C
2025-03-31 09:23:17;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,5 W;1,1 W;0,0 W;0,0 °C
2025-03-31 09:23:20;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:23;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;4,0 W;1,6 W;0,0 W;0,0 °C
2025-03-31 09:23:26;45,0 °C;45,0 °C;45,0 °C;45,0 °C;45,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:29;44,0 °C;44,0 °C;44,0 °C;44,0 °C;43,0 °C;3,8 W;1,4 W;0,0 W;0,0 °C
2025-03-31 09:23:32;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,3 W;0,8 W;0,0 W;0,0 °C
2025-03-31 09:23:35;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,2 W;0,8 W;0,0 W;0,0 °C
2025-03-31 09:23:38;44,0 °C;43,0 °C;45,0 °C;45,0 °C;45,0 °C;3,7 W;1,3 W;0,0 W;0,0 °C
2025-03-31 09:23:41;45,0 °C;45,0 °C;45,0 °C;45,0 °C;45,0 °C;3,6 W;1,1 W;0,0 W;0,0 °C
2025-03-31 09:23:44;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,5 W;1,0 W;0,0 W;0,0 °C
2025-03-31 09:23:47;43,0 °C;43,0 °C;43,0 °C;43,0 °C;43,0 °C;3,4 W;0,9 W;0,0 W;0,0 °C
2025-03-31 09:23:50;45,0 °C;45,0 °C;47,0 °C;53,0 °C;53,0 °C;8,1 W;5,4 W;0,0 W;0,0 °C
2025-03-31 09:23:53;45,0 °C;45,0 °C;44,0 °C;44,0 °C;44,0 °C;3,5 W;1,0 W;0,0 W;0,0 °C
2025-03-31 09:23:56;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,5 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:23:59;38,0 °C;38,0 °C;38,0 °C;38,0 °C;39,0 °C;4,5 W;1,9 W;0,0 W;0,0 °C
2025-03-31 09:24:02;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,7 W;1,2 W;0,1 W;0,0 °C
2025-03-31 09:24:05;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,7 W;1,2 W;0,1 W;0,0 °C
2025-03-31 09:24:08;38,0 °C;38,0 °C;38,0 °C;38,0 °C;39,0 °C;3,5 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:11;41,0 °C;41,0 °C;41,0 °C;41,0 °C;41,0 °C;3,6 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:14;43,0 °C;43,0 °C;44,0 °C;44,0 °C;44,0 °C;4,4 W;1,8 W;0,0 W;0,0 °C
2025-03-31 09:24:17;37,0 °C;37,0 °C;37,0 °C;37,0 °C;38,0 °C;3,4 W;0,9 W;0,1 W;0,0 °C
2025-03-31 09:24:20;41,0 °C;41,0 °C;41,0 °C;41,0 °C;41,0 °C;3,4 W;0,9 W;0,1 W;0,0 °C
2025-03-31 09:24:23;38,0 °C;38,0 °C;38,0 °C;38,0 °C;38,0 °C;3,5 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:26;39,0 °C;39,0 °C;39,0 °C;39,0 °C;39,0 °C;4,1 W;1,5 W;0,1 W;0,0 °C
2025-03-31 09:24:29;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,5 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:32;44,0 °C;43,0 °C;43,0 °C;44,0 °C;44,0 °C;3,6 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:35;42,0 °C;42,0 °C;42,0 °C;41,0 °C;41,0 °C;3,4 W;0,9 W;0,1 W;0,0 °C
2025-03-31 09:24:38;38,0 °C;38,0 °C;38,0 °C;38,0 °C;38,0 °C;3,7 W;1,1 W;0,1 W;0,0 °C
2025-03-31 09:24:41;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,6 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:44;40,0 °C;40,0 °C;40,0 °C;40,0 °C;40,0 °C;3,7 W;1,1 W;0,1 W;0,0 °C
2025-03-31 09:24:47;43,0 °C;43,0 °C;44,0 °C;44,0 °C;44,0 °C;3,6 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:50;43,0 °C;42,0 °C;44,0 °C;44,0 °C;44,0 °C;3,6 W;1,0 W;0,1 W;0,0 °C
2025-03-31 09:24:53;38,0 °C;38,0 °C;38,0 °C;38,0 °C;38,0 °C;3,7 W;1,1 W;0,1 W;0,0 °C
2025-03-31 09:24:56;39,0 °C;39,0 °C;39,0 °C;39,0 °C;39,0 °C;3,8 W;1,2 W;0,1 W;0,0 °C
2025-03-31 09:24:59;37,0 °C;37,0 °C;37,0 °C;37,0 °C;38,0 °C;4,0 W;1,4 W;0,1 W;0,0 °C
2025-03-31 09:25:02;43,0 °C;43,0 °C;43,0 °C;43,0 °C;43,0 °C;3,7 W;1,1 W;0,1 W;0,0 °C
2025-03-31 09:25:05;41,0 °C;41,0 °C;41,0 °C;41,0 °C;41,0 °C;3,8 W;1,2 W;0,1 W;0,0 °C
2025-03-31 09:25:08;39,0 °C;39,0 °C;39,0 °C;39,0 °C;39,0 °C;3,3 W;0,9 W;0,0 W;0,0 °C
2025-03-31 09:25:11;38,0 °C;38,0 °C;38,0 °C;38,0 °C;38,0 °C;3,1 W;0,7 W;0,0 W;0,0 °C
2025-03-31 09:25:14;38,0 °C;38,0 °C;38,0 °C;38,0 °C;38,0 °C;3,1 W;0,7 W;0,0 W;0,0 °C
2025-03-31 09:25:17;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,2 W;0,8 W;0,0 W;0,0 °C
2025-03-31 09:25:20;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,2 W;0,8 W;0,0 W;0,0 °C
2025-03-31 09:25:23;44,0 °C;44,0 °C;44,0 °C;44,0 °C;44,0 °C;3,4 W;1,0 W;0,0 W;0,0 °C
2025-03-31 09:25:27;42,0 °C;42,0 °C;42,0 °C;42,0 °C;42,0 °C;3,2 W;0,7 W;0,0 W;0,0 °C
2025-03-31 09:25:30;41,0 °C;41,0 °C;41,0 °C;45,0 °C;45,0 °C;3,2 W;0,8 W;0,0 W;0,0 °C
2025-03-31 09:25:33;40,0 °C;40,0 °C;40,0 °C;40,0 °C;40,0 °C;3,3 W;0,9 W;0,0 W;0,0 °C
2025-03-31 09:25:36;43,0 °C;43,0 °C;43,0 °C;43,0 °C;43,0 °C;3,2 W;0,7 W;0,0 W;0,0 °C
2025-03-31 09:25:39;45,0 °C;45,0 °C;45,0 °C;45,0 °C;45,0 °C;7,1 W;4,6 W;0,0 W;0,0 °C
