Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-10 11:51:33;64,0 °C;71,0 °C;62,0 °C;63,0 °C;68,0 °C;20,3 W;15,0 W;0,1 W;12,7 %;48,5 %;58,0 °C;0,0 %;2,4 %
2025-06-10 11:51:35;58,0 °C;60,0 °C;67,0 °C;59,0 °C;67,0 °C;19,7 W;13,9 W;0,2 W;11,2 %;48,5 %;58,0 °C;0,0 %;2,4 %
2025-06-10 11:51:37;65,0 °C;64,0 °C;56,0 °C;58,0 °C;65,0 °C;19,7 W;14,9 W;0,0 W;9,6 %;48,7 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:39;54,0 °C;55,0 °C;56,0 °C;54,0 °C;64,0 °C;14,2 W;9,7 W;0,0 W;8,6 %;48,7 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:41;63,0 °C;55,0 °C;56,0 °C;55,0 °C;63,0 °C;15,2 W;10,7 W;0,0 W;10,2 %;48,6 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:43;63,0 °C;55,0 °C;54,0 °C;55,0 °C;63,0 °C;15,9 W;11,4 W;0,0 W;7,9 %;48,6 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:45;52,0 °C;52,0 °C;52,0 °C;52,0 °C;58,0 °C;14,6 W;9,7 W;0,0 W;10,4 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:47;54,0 °C;66,0 °C;52,0 °C;56,0 °C;65,0 °C;13,9 W;9,2 W;0,1 W;8,3 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:49;52,0 °C;55,0 °C;53,0 °C;53,0 °C;58,0 °C;15,7 W;11,2 W;0,0 W;9,7 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:51;53,0 °C;53,0 °C;54,0 °C;54,0 °C;58,0 °C;15,4 W;10,8 W;0,0 W;9,5 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:53;51,0 °C;55,0 °C;54,0 °C;55,0 °C;58,0 °C;14,5 W;9,9 W;0,0 W;8,2 %;48,0 %;58,0 °C;0,0 %;2,4 %
2025-06-10 11:51:55;53,0 °C;53,0 °C;53,0 °C;52,0 °C;58,0 °C;15,0 W;10,2 W;0,0 W;9,2 %;48,0 %;58,0 °C;0,0 %;2,4 %
2025-06-10 11:51:57;61,0 °C;55,0 °C;56,0 °C;52,0 °C;61,0 °C;14,3 W;9,8 W;0,0 W;9,4 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:51:59;60,0 °C;55,0 °C;54,0 °C;52,0 °C;60,0 °C;15,2 W;10,8 W;0,0 W;8,3 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:01;62,0 °C;53,0 °C;54,0 °C;52,0 °C;62,0 °C;15,1 W;10,5 W;0,0 W;9,9 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:03;65,0 °C;53,0 °C;54,0 °C;52,0 °C;65,0 °C;16,1 W;11,6 W;0,0 W;9,0 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:05;53,0 °C;53,0 °C;52,0 °C;52,0 °C;57,0 °C;15,1 W;10,4 W;0,0 W;8,0 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:07;52,0 °C;53,0 °C;52,0 °C;52,0 °C;57,0 °C;15,3 W;10,6 W;0,0 W;8,6 %;47,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:09;52,0 °C;53,0 °C;52,0 °C;51,0 °C;57,0 °C;16,1 W;11,2 W;0,0 W;9,4 %;47,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:11;52,0 °C;53,0 °C;54,0 °C;55,0 °C;58,0 °C;13,9 W;9,5 W;0,0 W;8,3 %;47,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:13;52,0 °C;52,0 °C;52,0 °C;52,0 °C;58,0 °C;7,6 W;3,5 W;0,1 W;4,2 %;47,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:15;54,0 °C;57,0 °C;55,0 °C;63,0 °C;63,0 °C;13,9 W;9,4 W;0,0 W;8,5 %;47,8 %;0,0 °C;0,0 %;2,4 %
