Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-05 09:35:53;63,0 °C;62,0 °C;61,0 °C;55,0 °C;62,0 °C;19,2 W;14,5 W;0,0 W;11,8 %;66,3 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:35:55;54,0 °C;54,0 °C;49,0 °C;50,0 °C;55,0 °C;13,3 W;9,0 W;0,1 W;9,3 %;66,3 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:35:57;56,0 °C;50,0 °C;50,0 °C;48,0 °C;56,0 °C;13,1 W;9,1 W;0,0 W;10,6 %;66,3 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:35:59;51,0 °C;61,0 °C;48,0 °C;52,0 °C;61,0 °C;14,7 W;10,4 W;0,0 W;14,5 %;66,0 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:01;47,0 °C;60,0 °C;48,0 °C;52,0 °C;60,0 °C;13,9 W;9,9 W;0,0 W;8,3 %;65,9 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:03;55,0 °C;52,0 °C;50,0 °C;48,0 °C;55,0 °C;13,3 W;9,1 W;0,1 W;7,9 %;65,9 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:05;55,0 °C;66,0 °C;50,0 °C;49,0 °C;66,0 °C;14,0 W;9,8 W;0,0 W;8,2 %;65,8 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:07;60,0 °C;51,0 °C;49,0 °C;48,0 °C;67,0 °C;12,7 W;8,8 W;0,0 W;9,6 %;65,8 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:09;55,0 °C;50,0 °C;50,0 °C;48,0 °C;56,0 °C;12,8 W;8,6 W;0,0 W;8,7 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:11;55,0 °C;49,0 °C;49,0 °C;47,0 °C;55,0 °C;13,7 W;9,5 W;0,0 W;11,1 %;65,8 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:13;53,0 °C;57,0 °C;47,0 °C;49,0 °C;57,0 °C;13,0 W;9,0 W;0,1 W;10,0 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:15;56,0 °C;52,0 °C;49,0 °C;48,0 °C;58,0 °C;13,7 W;9,4 W;0,0 W;9,1 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:17;54,0 °C;49,0 °C;49,0 °C;48,0 °C;54,0 °C;12,5 W;8,5 W;0,0 W;8,3 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:19;50,0 °C;49,0 °C;49,0 °C;47,0 °C;53,0 °C;14,2 W;10,2 W;0,0 W;7,7 %;65,6 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:21;53,0 °C;57,0 °C;47,0 °C;49,0 °C;58,0 °C;13,8 W;9,7 W;0,0 W;12,2 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:23;54,0 °C;49,0 °C;49,0 °C;48,0 °C;54,0 °C;13,7 W;9,7 W;0,1 W;8,5 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:25;45,0 °C;60,0 °C;46,0 °C;50,0 °C;60,0 °C;13,1 W;8,9 W;0,1 W;7,3 %;65,8 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:27;58,0 °C;49,0 °C;49,0 °C;47,0 °C;59,0 °C;12,8 W;8,6 W;0,1 W;10,0 %;65,7 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:29;59,0 °C;48,0 °C;49,0 °C;47,0 °C;59,0 °C;14,2 W;10,0 W;0,0 W;9,9 %;65,6 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:31;59,0 °C;50,0 °C;48,0 °C;47,0 °C;59,0 °C;11,9 W;8,0 W;0,1 W;11,8 %;65,6 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:33;54,0 °C;48,0 °C;48,0 °C;48,0 °C;54,0 °C;12,7 W;8,6 W;0,1 W;6,9 %;65,6 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:35;67,0 °C;47,0 °C;49,0 °C;47,0 °C;67,0 °C;13,0 W;8,8 W;0,0 W;7,5 %;65,6 %;0,0 °C;86,0 %;2,4 %
2025-06-05 09:36:37;55,0 °C;49,0 °C;49,0 °C;47,0 °C;55,0 °C;13,8 W;9,8 W;0,0 W;8,2 %;65,6 %;0,0 °C;86,0 %;2,4 %
