Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-04 16:02:04;55,0 °C;57,0 °C;47,0 °C;48,0 °C;57,0 °C;17,7 W;13,3 W;0,1 W;11,9 %;66,5 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:06;49,0 °C;61,0 °C;46,0 °C;50,0 °C;61,0 °C;16,8 W;12,5 W;0,0 W;9,5 %;66,6 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:08;55,0 °C;47,0 °C;47,0 °C;46,0 °C;55,0 °C;16,7 W;12,3 W;0,1 W;9,5 %;66,6 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:10;58,0 °C;49,0 °C;47,0 °C;46,0 °C;55,0 °C;14,0 W;9,8 W;0,0 W;8,9 %;66,6 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:12;53,0 °C;53,0 °C;47,0 °C;46,0 °C;55,0 °C;14,2 W;10,0 W;0,1 W;8,3 %;66,5 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:14;45,0 °C;46,0 °C;45,0 °C;46,0 °C;51,0 °C;15,6 W;11,3 W;0,0 W;8,5 %;66,5 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:16;43,0 °C;58,0 °C;43,0 °C;48,0 °C;58,0 °C;15,0 W;10,8 W;0,1 W;8,2 %;66,5 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:18;44,0 °C;45,0 °C;43,0 °C;47,0 °C;51,0 °C;13,8 W;9,5 W;0,1 W;8,9 %;66,5 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:20;46,0 °C;46,0 °C;46,0 °C;44,0 °C;50,0 °C;13,4 W;9,3 W;0,1 W;8,1 %;66,4 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:02:22;43,0 °C;46,0 °C;43,0 °C;46,0 °C;51,0 °C;13,0 W;8,8 W;0,1 W;9,2 %;66,3 %;50,0 °C;0,0 %;2,4 %
2025-06-04 16:02:24;46,0 °C;46,0 °C;46,0 °C;47,0 °C;51,0 °C;14,6 W;10,3 W;0,0 W;9,9 %;66,3 %;0,0 °C;0,0 %;2,4 %
