Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-05-23 08:00:01;59,0 °C;77,0 °C;53,0 °C;58,0 °C;77,0 °C;22,9 W;18,2 W;0,0 W;7,8 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:03;49,0 °C;50,0 °C;49,0 °C;48,0 °C;56,0 °C;15,9 W;12,0 W;0,0 W;5,6 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:05;49,0 °C;64,0 °C;49,0 °C;52,0 °C;62,0 °C;16,2 W;12,2 W;0,0 W;5,7 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:07;49,0 °C;51,0 °C;49,0 °C;57,0 °C;57,0 °C;15,1 W;11,4 W;0,0 W;5,9 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:09;48,0 °C;50,0 °C;49,0 °C;48,0 °C;55,0 °C;14,4 W;10,4 W;0,1 W;6,4 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:11;53,0 °C;64,0 °C;52,0 °C;54,0 °C;64,0 °C;16,5 W;12,4 W;0,0 W;5,6 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:13;49,0 °C;50,0 °C;49,0 °C;50,0 °C;55,0 °C;15,1 W;11,2 W;0,0 W;6,2 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:15;49,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;15,9 W;12,0 W;0,0 W;6,0 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:17;49,0 °C;49,0 °C;49,0 °C;49,0 °C;55,0 °C;14,4 W;10,6 W;0,0 W;5,9 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:19;51,0 °C;50,0 °C;51,0 °C;50,0 °C;56,0 °C;15,0 W;11,0 W;0,0 W;6,5 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:21;49,0 °C;51,0 °C;50,0 °C;51,0 °C;57,0 °C;16,1 W;12,1 W;0,1 W;5,7 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:23;49,0 °C;51,0 °C;49,0 °C;48,0 °C;55,0 °C;8,8 W;4,7 W;0,1 W;2,4 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:25;49,0 °C;51,0 °C;51,0 °C;50,0 °C;62,0 °C;16,4 W;12,5 W;0,0 W;5,1 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:27;53,0 °C;51,0 °C;50,0 °C;49,0 °C;55,0 °C;14,3 W;10,5 W;0,0 W;6,0 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:29;49,0 °C;50,0 °C;49,0 °C;48,0 °C;55,0 °C;14,7 W;10,8 W;0,1 W;5,4 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:31;47,0 °C;50,0 °C;48,0 °C;50,0 °C;55,0 °C;15,4 W;11,6 W;0,0 W;6,1 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:33;48,0 °C;50,0 °C;48,0 °C;50,0 °C;55,0 °C;15,2 W;11,3 W;0,0 W;5,8 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:35;49,0 °C;51,0 °C;49,0 °C;50,0 °C;55,0 °C;15,2 W;11,4 W;0,1 W;6,1 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:37;48,0 °C;51,0 °C;49,0 °C;50,0 °C;55,0 °C;15,5 W;11,6 W;0,0 W;5,7 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:39;48,0 °C;50,0 °C;49,0 °C;49,0 °C;55,0 °C;16,2 W;12,3 W;0,1 W;5,2 %;56,6 %;54,0 °C;0,0 %;2,4 %
2025-05-23 08:00:41;51,0 °C;52,0 °C;60,0 °C;49,0 °C;56,0 °C;15,8 W;11,9 W;0,0 W;5,2 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:43;49,0 °C;50,0 °C;50,0 °C;50,0 °C;61,0 °C;15,5 W;11,7 W;0,0 W;6,7 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:45;47,0 °C;50,0 °C;52,0 °C;50,0 °C;60,0 °C;15,1 W;11,3 W;0,0 W;6,2 %;56,7 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:48;48,0 °C;51,0 °C;50,0 °C;48,0 °C;60,0 °C;16,6 W;12,8 W;0,0 W;5,7 %;56,6 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:50;61,0 °C;58,0 °C;49,0 °C;51,0 °C;58,0 °C;13,8 W;9,8 W;0,0 W;6,8 %;56,5 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:52;50,0 °C;50,0 °C;50,0 °C;49,0 °C;56,0 °C;16,0 W;12,2 W;0,0 W;6,4 %;56,5 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:54;49,0 °C;50,0 °C;48,0 °C;62,0 °C;62,0 °C;15,1 W;11,3 W;0,0 W;6,1 %;56,5 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:56;55,0 °C;52,0 °C;50,0 °C;50,0 °C;58,0 °C;15,3 W;11,1 W;0,0 W;7,2 %;56,5 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:00:58;49,0 °C;51,0 °C;50,0 °C;48,0 °C;62,0 °C;16,2 W;12,2 W;0,1 W;5,6 %;56,4 %;0,0 °C;0,0 %;2,4 %
2025-05-23 08:01:00;51,0 °C;58,0 °C;49,0 °C;51,0 °C;58,0 °C;15,3 W;11,3 W;0,0 W;7,1 %;56,3 %;0,0 °C;0,0 %;2,4 %
