Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
16/05/2025 00:21;39,0 °C;46,0 °C;40,0 °C;41,0 °C;46,0 °C;9,5 W;4,2 W;0,1 W;11,80%;64,90%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;38,0 °C;40,0 °C;39,0 °C;39,0 °C;45,0 °C;10,7 W;5,4 W;0,2 W;24,00%;64,70%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;38,0 °C;39,0 °C;39,0 °C;44,0 °C;5,4 W;1,4 W;0,1 W;5,30%;64,70%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;5,0 W;0,9 W;0,2 W;5,80%;64,70%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;38,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;5,1 W;0,8 W;0,2 W;4,80%;64,70%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;38,0 °C;39,0 °C;37,0 °C;38,0 °C;44,0 °C;4,5 W;1,2 W;0,1 W;4,70%;64,70%;0,0 °C;0,00%;2,40%
16/05/2025 00:21;40,0 °C;39,0 °C;42,0 °C;39,0 °C;44,0 °C;6,1 W;2,8 W;0,0 W;8,40%;64,60%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;4,9 W;0,8 W;0,2 W;3,50%;64,60%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;40,0 °C;38,0 °C;38,0 °C;45,0 °C;4,2 W;1,0 W;0,1 W;4,70%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:21;40,0 °C;40,0 °C;37,0 °C;38,0 °C;45,0 °C;7,2 W;3,6 W;0,0 W;11,30%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;38,0 °C;37,0 °C;39,0 °C;45,0 °C;5,0 W;1,0 W;0,2 W;4,90%;64,40%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;40,0 °C;37,0 °C;38,0 °C;44,0 °C;5,4 W;1,4 W;0,1 W;5,30%;64,50%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;38,0 °C;38,0 °C;39,0 °C;39,0 °C;45,0 °C;4,8 W;0,8 W;0,2 W;3,70%;64,50%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;38,0 °C;37,0 °C;38,0 °C;44,0 °C;4,8 W;0,8 W;0,2 W;4,50%;64,50%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;38,0 °C;39,0 °C;39,0 °C;38,0 °C;45,0 °C;5,1 W;0,8 W;0,2 W;4,60%;64,50%;44,0 °C;0,00%;2,40%
16/05/2025 00:21;39,0 °C;39,0 °C;40,0 °C;39,0 °C;45,0 °C;5,9 W;2,4 W;0,1 W;7,70%;64,60%;44,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;38,0 °C;37,0 °C;38,0 °C;45,0 °C;6,3 W;1,8 W;0,1 W;6,80%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;39,0 °C;38,0 °C;45,0 °C;4,7 W;0,7 W;0,2 W;3,90%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;40,0 °C;41,0 °C;37,0 °C;40,0 °C;45,0 °C;6,2 W;1,8 W;0,1 W;5,60%;64,60%;44,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;39,0 °C;39,0 °C;45,0 °C;4,8 W;0,7 W;0,2 W;3,30%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;37,0 °C;38,0 °C;45,0 °C;5,3 W;1,0 W;0,2 W;3,10%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;40,0 °C;39,0 °C;40,0 °C;45,0 °C;5,7 W;2,3 W;0,1 W;8,70%;64,50%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;37,0 °C;38,0 °C;45,0 °C;4,9 W;0,7 W;0,2 W;3,00%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;39,0 °C;39,0 °C;38,0 °C;46,0 °C;5,1 W;0,8 W;0,2 W;2,70%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;40,0 °C;39,0 °C;39,0 °C;39,0 °C;45,0 °C;6,0 W;2,7 W;0,1 W;7,00%;64,50%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;43,0 °C;39,0 °C;40,0 °C;39,0 °C;45,0 °C;5,9 W;2,0 W;0,1 W;5,50%;64,40%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;39,0 °C;38,0 °C;45,0 °C;4,9 W;0,8 W;0,2 W;3,90%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;37,0 °C;39,0 °C;46,0 °C;4,9 W;0,9 W;0,2 W;3,40%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;4,9 W;0,9 W;0,2 W;2,90%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;40,0 °C;39,0 °C;39,0 °C;45,0 °C;4,7 W;0,8 W;0,2 W;2,60%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;40,0 °C;38,0 °C;38,0 °C;46,0 °C;5,3 W;1,2 W;0,2 W;5,50%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;38,0 °C;38,0 °C;39,0 °C;45,0 °C;4,3 W;1,2 W;0,1 W;7,40%;64,50%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;38,0 °C;38,0 °C;45,0 °C;6,0 W;2,7 W;0,1 W;9,40%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;39,0 °C;37,0 °C;39,0 °C;46,0 °C;5,7 W;2,3 W;0,1 W;7,30%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;39,0 °C;39,0 °C;46,0 °C;4,9 W;0,8 W;0,2 W;4,40%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;40,0 °C;39,0 °C;37,0 °C;38,0 °C;46,0 °C;5,4 W;1,3 W;0,1 W;6,30%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;38,0 °C;38,0 °C;47,0 °C;5,1 W;1,0 W;0,2 W;5,90%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;39,0 °C;38,0 °C;38,0 °C;46,0 °C;5,0 W;0,8 W;0,2 W;3,10%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;40,0 °C;38,0 °C;39,0 °C;46,0 °C;5,0 W;0,8 W;0,2 W;3,50%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;40,0 °C;39,0 °C;39,0 °C;40,0 °C;45,0 °C;5,9 W;2,5 W;0,0 W;7,20%;64,40%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;40,0 °C;38,0 °C;38,0 °C;46,0 °C;4,3 W;1,1 W;0,1 W;3,90%;64,40%;0,0 °C;0,00%;2,40%
16/05/2025 00:22;41,0 °C;42,0 °C;41,0 °C;40,0 °C;46,0 °C;6,7 W;3,4 W;0,0 W;12,50%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;40,0 °C;37,0 °C;40,0 °C;46,0 °C;5,9 W;2,5 W;0,1 W;7,80%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;39,0 °C;39,0 °C;37,0 °C;38,0 °C;46,0 °C;5,0 W;0,8 W;0,2 W;5,70%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;42,0 °C;40,0 °C;40,0 °C;39,0 °C;46,0 °C;4,8 W;0,8 W;0,2 W;4,00%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:22;38,0 °C;39,0 °C;39,0 °C;39,0 °C;46,0 °C;5,0 W;0,9 W;0,2 W;3,40%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;39,0 °C;39,0 °C;40,0 °C;40,0 °C;46,0 °C;5,4 W;1,2 W;0,1 W;6,50%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;39,0 °C;40,0 °C;37,0 °C;39,0 °C;47,0 °C;5,0 W;0,8 W;0,2 W;3,40%;64,40%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;39,0 °C;37,0 °C;39,0 °C;46,0 °C;5,1 W;0,9 W;0,2 W;2,90%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;38,0 °C;38,0 °C;38,0 °C;46,0 °C;5,1 W;1,0 W;0,2 W;3,30%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;39,0 °C;40,0 °C;37,0 °C;38,0 °C;46,0 °C;5,3 W;0,9 W;0,2 W;3,60%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;39,0 °C;39,0 °C;38,0 °C;38,0 °C;46,0 °C;5,6 W;1,6 W;0,1 W;5,50%;64,40%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;37,0 °C;39,0 °C;46,0 °C;4,7 W;0,7 W;0,2 W;2,50%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;38,0 °C;40,0 °C;40,0 °C;38,0 °C;46,0 °C;4,2 W;1,0 W;0,1 W;3,50%;64,30%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;41,0 °C;39,0 °C;40,0 °C;39,0 °C;46,0 °C;7,2 W;3,2 W;0,1 W;11,90%;64,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:23;42,0 °C;45,0 °C;44,0 °C;44,0 °C;47,0 °C;10,6 W;5,0 W;0,3 W;14,80%;64,70%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;40,0 °C;39,0 °C;47,0 °C;9,6 W;4,3 W;0,2 W;10,80%;65,40%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;39,0 °C;47,0 °C;9,2 W;4,7 W;0,2 W;14,00%;65,00%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;39,0 °C;46,0 °C;7,5 W;3,5 W;0,1 W;11,30%;64,80%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;39,0 °C;46,0 °C;5,8 W;1,7 W;0,1 W;5,60%;64,80%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;42,0 °C;42,0 °C;41,0 °C;39,0 °C;46,0 °C;8,1 W;3,8 W;0,0 W;12,40%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;43,0 °C;41,0 °C;40,0 °C;39,0 °C;46,0 °C;7,3 W;3,5 W;0,1 W;9,60%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,4 W;1,8 W;0,0 W;10,00%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;39,0 °C;47,0 °C;6,5 W;3,1 W;0,0 W;6,20%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;40,0 °C;40,0 °C;48,0 °C;6,6 W;3,0 W;0,1 W;9,40%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;42,0 °C;38,0 °C;40,0 °C;47,0 °C;5,9 W;1,2 W;0,1 W;5,90%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;42,0 °C;40,0 °C;39,0 °C;47,0 °C;5,3 W;1,0 W;0,1 W;4,30%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;40,0 °C;39,0 °C;46,0 °C;5,7 W;1,2 W;0,1 W;5,40%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;42,0 °C;41,0 °C;41,0 °C;40,0 °C;46,0 °C;4,8 W;0,8 W;0,2 W;3,20%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;38,0 °C;40,0 °C;46,0 °C;4,9 W;1,0 W;0,2 W;2,10%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;39,0 °C;39,0 °C;46,0 °C;5,8 W;2,4 W;0,0 W;9,60%;64,50%;0,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;39,0 °C;40,0 °C;38,0 °C;47,0 °C;4,6 W;0,6 W;0,2 W;2,70%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,1 W;0,9 W;0,1 W;3,80%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;40,0 °C;39,0 °C;47,0 °C;4,9 W;0,9 W;0,2 W;4,10%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;41,0 °C;40,0 °C;39,0 °C;47,0 °C;4,9 W;0,7 W;0,2 W;3,30%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:23;40,0 °C;40,0 °C;41,0 °C;40,0 °C;48,0 °C;5,6 W;1,5 W;0,1 W;7,70%;64,70%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;4,9 W;0,7 W;0,2 W;5,20%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;40,0 °C;46,0 °C;4,4 W;1,5 W;0,1 W;3,30%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:24;43,0 °C;41,0 °C;41,0 °C;39,0 °C;46,0 °C;6,3 W;3,0 W;0,0 W;8,10%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;39,0 °C;47,0 °C;5,2 W;0,9 W;0,2 W;3,50%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;41,0 °C;40,0 °C;46,0 °C;5,0 W;0,9 W;0,2 W;5,20%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;41,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;4,7 W;0,8 W;0,1 W;3,30%;64,50%;0,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;41,0 °C;40,0 °C;46,0 °C;5,2 W;1,0 W;0,2 W;3,80%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;39,0 °C;40,0 °C;41,0 °C;47,0 °C;4,7 W;0,7 W;0,2 W;5,30%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;41,0 °C;47,0 °C;4,9 W;0,9 W;0,2 W;4,40%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;6,4 W;2,7 W;0,1 W;8,10%;64,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;39,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,3 W;1,3 W;0,1 W;5,80%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;39,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,2 W;1,2 W;0,1 W;5,20%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;42,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;7,2 W;3,0 W;0,1 W;9,00%;63,90%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;5,4 W;1,1 W;0,2 W;4,50%;64,00%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;41,0 °C;40,0 °C;47,0 °C;4,9 W;0,8 W;0,2 W;4,20%;64,00%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;6,1 W;2,5 W;0,1 W;8,80%;64,00%;0,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;40,0 °C;46,0 °C;5,1 W;0,7 W;0,2 W;3,80%;64,00%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;4,9 W;0,8 W;0,2 W;3,70%;64,00%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,0 W;0,7 W;0,2 W;3,30%;64,00%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,7 W;1,3 W;0,1 W;6,20%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,7 W;1,5 W;0,1 W;4,20%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;39,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;4,8 W;1,3 W;0,1 W;4,40%;64,10%;0,0 °C;0,00%;2,40%
16/05/2025 00:24;39,0 °C;40,0 °C;40,0 °C;40,0 °C;46,0 °C;5,0 W;0,9 W;0,2 W;2,70%;64,00%;47,0 °C;0,00%;2,40%
16/05/2025 00:24;39,0 °C;39,0 °C;41,0 °C;40,0 °C;47,0 °C;4,9 W;0,8 W;0,2 W;3,40%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;39,0 °C;41,0 °C;40,0 °C;48,0 °C;4,7 W;1,3 W;0,1 W;4,20%;64,10%;0,0 °C;0,00%;2,40%
16/05/2025 00:24;43,0 °C;40,0 °C;41,0 °C;40,0 °C;47,0 °C;6,3 W;3,0 W;0,0 W;10,80%;64,10%;47,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;41,0 °C;41,0 °C;47,0 °C;6,1 W;2,5 W;0,1 W;7,30%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;40,0 °C;41,0 °C;40,0 °C;48,0 °C;4,8 W;0,8 W;0,2 W;3,80%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:24;40,0 °C;41,0 °C;40,0 °C;40,0 °C;48,0 °C;5,0 W;0,9 W;0,2 W;3,50%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;41,0 °C;41,0 °C;48,0 °C;5,0 W;0,9 W;0,2 W;3,10%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;40,0 °C;40,0 °C;41,0 °C;48,0 °C;5,5 W;1,5 W;0,1 W;6,10%;64,10%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,8 W;2,2 W;0,1 W;8,40%;64,10%;0,0 °C;0,00%;2,40%
16/05/2025 00:25;42,0 °C;41,0 °C;42,0 °C;40,0 °C;47,0 °C;5,0 W;0,9 W;0,2 W;3,00%;64,10%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;46,0 °C;5,2 W;0,9 W;0,2 W;2,90%;64,10%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;4,8 W;0,7 W;0,2 W;3,60%;64,10%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;6,0 W;1,5 W;0,1 W;7,10%;64,10%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;6,0 W;2,6 W;0,0 W;9,90%;64,10%;0,0 °C;0,00%;2,40%
16/05/2025 00:25;46,0 °C;47,0 °C;45,0 °C;46,0 °C;48,0 °C;9,3 W;4,8 W;0,1 W;15,20%;64,20%;0,0 °C;0,00%;2,40%
16/05/2025 00:25;42,0 °C;42,0 °C;42,0 °C;42,0 °C;47,0 °C;9,2 W;4,7 W;0,1 W;16,00%;64,20%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;7,6 W;3,4 W;0,0 W;11,50%;64,60%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;42,0 °C;40,0 °C;41,0 °C;48,0 °C;6,8 W;1,8 W;0,1 W;7,60%;64,60%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;6,4 W;1,6 W;0,1 W;6,50%;64,60%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;6,2 W;1,5 W;0,1 W;6,00%;64,60%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;42,0 °C;42,0 °C;41,0 °C;41,0 °C;48,0 °C;5,6 W;1,1 W;0,1 W;5,60%;64,70%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;5,9 W;1,4 W;0,1 W;6,10%;64,70%;47,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;42,0 °C;41,0 °C;41,0 °C;47,0 °C;6,7 W;3,1 W;0,0 W;13,90%;64,60%;0,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,1 W;1,7 W;0,0 W;8,20%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;7,1 W;3,0 W;0,1 W;11,40%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;40,0 °C;40,0 °C;40,0 °C;47,0 °C;5,5 W;1,6 W;0,2 W;6,00%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;6,2 W;2,6 W;0,0 W;8,70%;64,70%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,7 W;2,5 W;0,0 W;8,60%;64,60%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,2 W;1,5 W;0,0 W;5,00%;64,60%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;41,0 °C;41,0 °C;41,0 °C;46,0 °C;5,2 W;1,7 W;0,0 W;5,80%;64,60%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;41,0 °C;47,0 °C;5,0 W;1,7 W;0,0 W;7,00%;64,50%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,0 W;1,5 W;0,1 W;5,40%;64,60%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;46,0 °C;48,0 °C;43,0 °C;46,0 °C;48,0 °C;8,8 W;4,6 W;0,0 W;13,80%;64,80%;46,0 °C;0,00%;2,40%
16/05/2025 00:25;40,0 °C;40,0 °C;40,0 °C;40,0 °C;46,0 °C;5,4 W;1,9 W;0,0 W;6,10%;65,00%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;41,0 °C;42,0 °C;40,0 °C;41,0 °C;47,0 °C;7,2 W;2,5 W;0,5 W;9,20%;65,00%;45,0 °C;0,00%;2,40%
16/05/2025 00:25;42,0 °C;48,0 °C;41,0 °C;44,0 °C;48,0 °C;13,8 W;8,3 W;0,1 W;25,20%;65,00%;45,0 °C;0,00%;2,40%
16/05/2025 00:26;42,0 °C;42,0 °C;40,0 °C;41,0 °C;47,0 °C;8,5 W;4,0 W;0,2 W;15,50%;65,30%;45,0 °C;0,00%;2,40%
16/05/2025 00:26;43,0 °C;47,0 °C;42,0 °C;43,0 °C;47,0 °C;10,5 W;5,9 W;0,1 W;17,00%;65,50%;46,0 °C;0,00%;2,40%
16/05/2025 00:26;40,0 °C;41,0 °C;41,0 °C;41,0 °C;48,0 °C;9,0 W;4,5 W;0,2 W;13,90%;66,20%;45,0 °C;0,00%;2,40%
