Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-09 20:20:43;50,0 °C;55,0 °C;51,0 °C;48,0 °C;55,0 °C;19,8 W;15,4 W;0,0 W;12,0 %;71,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:45;42,0 °C;42,0 °C;40,0 °C;43,0 °C;47,0 °C;17,2 W;13,1 W;0,0 W;9,5 %;71,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:47;42,0 °C;44,0 °C;42,0 °C;46,0 °C;47,0 °C;18,1 W;13,9 W;0,0 W;13,0 %;71,4 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:49;41,0 °C;44,0 °C;42,0 °C;43,0 °C;47,0 °C;17,5 W;13,4 W;0,0 W;13,9 %;71,5 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:51;42,0 °C;44,0 °C;42,0 °C;43,0 °C;49,0 °C;19,9 W;15,7 W;0,0 W;11,9 %;71,5 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:53;40,0 °C;42,0 °C;41,0 °C;42,0 °C;47,0 °C;14,4 W;10,4 W;0,0 W;11,1 %;71,4 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:55;40,0 °C;42,0 °C;42,0 °C;43,0 °C;49,0 °C;15,4 W;11,5 W;0,0 W;9,0 %;71,4 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:57;45,0 °C;61,0 °C;43,0 °C;48,0 °C;62,0 °C;17,1 W;13,0 W;0,0 W;10,8 %;71,4 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:20:59;43,0 °C;42,0 °C;44,0 °C;47,0 °C;47,0 °C;14,9 W;11,0 W;0,0 W;11,6 %;71,4 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:01;43,0 °C;66,0 °C;44,0 °C;49,0 °C;66,0 °C;19,3 W;15,1 W;0,0 W;10,2 %;71,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:03;40,0 °C;42,0 °C;40,0 °C;41,0 °C;47,0 °C;8,5 W;4,4 W;0,0 W;4,6 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:05;49,0 °C;43,0 °C;43,0 °C;43,0 °C;49,0 °C;14,9 W;10,9 W;0,0 W;10,6 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:07;61,0 °C;47,0 °C;53,0 °C;47,0 °C;60,0 °C;19,7 W;15,6 W;0,0 W;10,7 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:09;40,0 °C;43,0 °C;42,0 °C;43,0 °C;49,0 °C;15,1 W;11,0 W;0,0 W;8,7 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:11;46,0 °C;43,0 °C;43,0 °C;42,0 °C;51,0 °C;14,7 W;10,7 W;0,0 W;10,4 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:13;49,0 °C;42,0 °C;43,0 °C;43,0 °C;49,0 °C;15,1 W;11,2 W;0,0 W;10,4 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:15;42,0 °C;56,0 °C;44,0 °C;46,0 °C;56,0 °C;14,5 W;10,3 W;0,0 W;9,4 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:17;46,0 °C;42,0 °C;42,0 °C;43,0 °C;48,0 °C;15,8 W;11,7 W;0,0 W;10,0 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:19;43,0 °C;42,0 °C;42,0 °C;43,0 °C;49,0 °C;14,0 W;10,2 W;0,0 W;11,0 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:21;42,0 °C;42,0 °C;42,0 °C;43,0 °C;48,0 °C;14,7 W;10,7 W;0,0 W;7,9 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:23;41,0 °C;42,0 °C;41,0 °C;43,0 °C;47,0 °C;15,0 W;11,0 W;0,0 W;10,6 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:25;40,0 °C;44,0 °C;41,0 °C;43,0 °C;60,0 °C;15,3 W;11,3 W;0,0 W;11,0 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:27;46,0 °C;42,0 °C;42,0 °C;43,0 °C;48,0 °C;14,1 W;10,1 W;0,0 W;11,1 %;71,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:29;46,0 °C;42,0 °C;52,0 °C;52,0 °C;50,0 °C;14,4 W;10,4 W;0,0 W;10,1 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:31;41,0 °C;43,0 °C;41,0 °C;42,0 °C;48,0 °C;13,9 W;9,8 W;0,0 W;9,5 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:33;40,0 °C;43,0 °C;41,0 °C;43,0 °C;49,0 °C;15,2 W;11,2 W;0,0 W;11,2 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:35;47,0 °C;44,0 °C;67,0 °C;57,0 °C;57,0 °C;17,9 W;13,9 W;0,0 W;11,7 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:37;45,0 °C;43,0 °C;51,0 °C;43,0 °C;51,0 °C;15,7 W;11,7 W;0,0 W;8,6 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:39;49,0 °C;44,0 °C;44,0 °C;45,0 °C;49,0 °C;14,2 W;10,3 W;0,0 W;10,4 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:41;42,0 °C;43,0 °C;42,0 °C;42,0 °C;49,0 °C;14,4 W;10,6 W;0,0 W;8,8 %;72,2 %;0,0 °C;0,0 %;2,4 %
