Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-05-25 11:55:03;41,0 °C;42,0 °C;39,0 °C;40,0 °C;46,0 °C;8,7 W;4,3 W;0,1 W;4,7 %;63,9 %;43,0 °C;0,0 %;2,4 %
2025-05-25 11:55:05;39,0 °C;39,0 °C;38,0 °C;38,0 °C;46,0 °C;4,6 W;1,3 W;0,1 W;3,9 %;63,9 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:07;39,0 °C;39,0 °C;38,0 °C;38,0 °C;45,0 °C;4,5 W;1,1 W;0,1 W;2,9 %;63,4 %;43,0 °C;0,0 %;2,4 %
2025-05-25 11:55:09;40,0 °C;46,0 °C;40,0 °C;40,0 °C;46,0 °C;6,4 W;2,4 W;0,1 W;5,5 %;63,1 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:11;40,0 °C;41,0 °C;41,0 °C;40,0 °C;46,0 °C;6,0 W;1,9 W;0,1 W;4,3 %;63,2 %;43,0 °C;0,0 %;2,4 %
2025-05-25 11:55:13;39,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;5,4 W;1,7 W;0,0 W;5,2 %;58,1 %;43,0 °C;0,0 %;2,4 %
2025-05-25 11:55:15;39,0 °C;40,0 °C;38,0 °C;38,0 °C;46,0 °C;6,3 W;3,2 W;0,0 W;4,7 %;58,1 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:17;39,0 °C;42,0 °C;37,0 °C;39,0 °C;45,0 °C;4,8 W;1,8 W;0,0 W;2,8 %;58,1 %;44,0 °C;0,0 %;2,4 %
2025-05-25 11:55:19;39,0 °C;39,0 °C;38,0 °C;38,0 °C;46,0 °C;3,9 W;1,1 W;0,1 W;1,3 %;58,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:21;43,0 °C;40,0 °C;39,0 °C;38,0 °C;46,0 °C;6,1 W;3,0 W;0,0 W;5,8 %;57,9 %;44,0 °C;0,0 %;2,4 %
2025-05-25 11:55:23;38,0 °C;40,0 °C;40,0 °C;38,0 °C;45,0 °C;6,0 W;2,8 W;0,0 W;5,2 %;57,9 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:25;41,0 °C;39,0 °C;38,0 °C;38,0 °C;46,0 °C;4,8 W;1,8 W;0,0 W;4,3 %;57,9 %;44,0 °C;0,0 %;2,4 %
2025-05-25 11:55:27;40,0 °C;39,0 °C;37,0 °C;38,0 °C;44,0 °C;6,2 W;3,0 W;0,0 W;5,2 %;57,9 %;44,0 °C;0,0 %;2,4 %
2025-05-25 11:55:29;39,0 °C;40,0 °C;38,0 °C;39,0 °C;45,0 °C;6,0 W;2,8 W;0,0 W;5,4 %;57,8 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:31;38,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;4,0 W;1,1 W;0,1 W;2,0 %;57,8 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:33;40,0 °C;39,0 °C;41,0 °C;42,0 °C;45,0 °C;5,7 W;2,5 W;0,0 W;4,1 %;57,8 %;44,0 °C;0,0 %;2,4 %
2025-05-25 11:55:35;39,0 °C;39,0 °C;37,0 °C;39,0 °C;45,0 °C;5,9 W;2,8 W;0,0 W;6,4 %;57,8 %;0,0 °C;0,0 %;2,4 %
2025-05-25 11:55:37;39,0 °C;39,0 °C;38,0 °C;38,0 °C;45,0 °C;3,9 W;1,0 W;0,1 W;2,1 %;57,8 %;0,0 °C;0,0 %;2,4 %
