Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-05-08 15:01:45;0.0;2.39;0.60;3.01
2025-05-08 15:01:46;0.83;2.39;0.60;3.01
2025-05-08 15:01:47;1.93;2.39;0.58;2.92
2025-05-08 15:01:48;3.04;2.38;0.66;3.32
2025-05-08 15:01:49;4.14;2.40;0.55;2.73
2025-05-08 15:01:50;5.24;2.41;0.49;2.44
2025-05-08 15:01:51;6.34;2.38;0.63;3.14
2025-05-08 15:01:53;7.44;2.39;0.61;3.06
2025-05-08 15:01:54;8.55;2.40;0.56;2.79
2025-05-08 15:01:55;9.65;2.41;0.51;2.56
2025-05-08 15:01:56;10.74;2.39;0.61;3.04
2025-05-08 15:01:57;11.85;2.38;0.63;3.16
2025-05-08 15:01:58;12.95;2.39;0.62;3.09
2025-05-08 15:01:59;14.05;2.40;0.55;2.77
2025-05-08 15:02:00;15.15;2.40;0.55;2.73
2025-05-08 15:02:01;16.25;2.41;0.51;2.54
2025-05-08 15:02:02;17.35;2.41;0.51;2.55
2025-05-08 15:02:04;18.46;2.38;0.62;3.12
2025-05-08 15:02:05;19.56;2.39;0.59;2.97
2025-05-08 15:02:06;20.66;2.40;0.55;2.73
2025-05-08 15:02:07;21.76;2.40;0.53;2.66
2025-05-08 15:02:08;22.86;2.40;0.54;2.68
2025-05-08 15:02:09;23.97;2.39;0.62;3.08
2025-05-08 15:02:10;25.07;2.39;0.57;2.87
2025-05-08 15:02:11;26.17;2.39;0.58;2.88
2025-05-08 15:02:12;27.27;2.41;0.48;2.38
2025-05-08 15:02:13;28.37;2.40;0.53;2.64
2025-05-08 15:02:15;29.47;2.41;0.51;2.54
2025-05-08 15:02:16;30.58;2.40;0.55;2.73
2025-05-08 15:02:17;31.68;2.39;0.58;2.91
2025-05-08 15:02:18;32.78;2.40;0.55;2.77
2025-05-08 15:02:19;33.88;2.41;0.50;2.50
2025-05-08 15:02:20;34.98;2.40;0.52;2.62
2025-05-08 15:02:21;36.09;2.40;0.54;2.71
2025-05-08 15:02:22;37.19;2.40;0.55;2.76
2025-05-08 15:02:23;38.29;2.38;0.64;3.22
2025-05-08 15:02:24;39.39;2.39;0.57;2.84
2025-05-08 15:02:26;40.49;2.40;0.55;2.76
2025-05-08 15:02:27;41.59;2.40;0.53;2.64
2025-05-08 15:02:28;42.7;2.39;0.59;2.97
2025-05-08 15:02:29;43.8;2.40;0.55;2.73
2025-05-08 15:02:30;44.9;2.39;0.58;2.91
2025-05-08 15:02:31;46.0;2.40;0.54;2.68
2025-05-08 15:02:32;47.1;2.39;0.59;2.96
2025-05-08 15:02:33;48.21;2.39;0.60;3.00
2025-05-08 15:02:34;49.31;2.39;0.58;2.88
2025-05-08 15:02:35;50.41;2.38;0.65;3.26
2025-05-08 15:02:37;51.51;2.38;0.63;3.13
2025-05-08 15:02:38;52.61;2.33;0.92;4.60
2025-05-08 15:02:39;53.71;2.38;0.67;3.36
