Horodatage;Temps relatif (s);CPU (%);RAM (Mo);RAM (%);Réseau (Ko/s);Température (°C)
2025-05-08 15:01:43;0.0;0.0;632.71;22.1;0.0;56.0
2025-05-08 15:01:44;1.01;0.0;632.7;22.1;0.0;55.5
2025-05-08 15:01:45;2.01;0.0;632.7;22.1;0.0;55.5
2025-05-08 15:01:46;3.01;0.0;632.7;22.1;0.0;55.0
2025-05-08 15:01:47;4.02;0.5;632.7;22.1;0.3046875;56.4
2025-05-08 15:01:49;5.02;0.0;632.7;22.1;0.318359375;56.0
2025-05-08 15:01:50;6.03;0.0;632.7;22.1;0.0;56.0
2025-05-08 15:01:51;7.04;0.5;632.7;22.1;11.021484375;54.5
2025-05-08 15:01:52;8.05;0.0;632.7;22.1;0.23046875;55.0
2025-05-08 15:01:53;9.06;0.0;632.7;22.1;0.791015625;56.0
2025-05-08 15:01:54;10.07;0.0;632.7;22.1;1.798828125;55.5
2025-05-08 15:01:55;11.08;0.5;632.7;22.1;0.115234375;54.5
2025-05-08 15:01:56;12.09;0.0;632.7;22.1;1.4921875;55.0
2025-05-08 15:01:57;13.1;0.0;632.64;22.1;0.0;55.0
2025-05-08 15:01:58;14.11;0.0;631.94;21.9;0.162109375;55.5
2025-05-08 15:01:59;15.12;0.0;631.94;21.9;0.087890625;55.5
2025-05-08 15:02:00;16.13;0.5;631.93;21.9;0.0;55.0
2025-05-08 15:02:01;17.14;0.0;631.93;21.9;0.23046875;55.5
2025-05-08 15:02:02;18.15;0.0;631.93;21.9;0.0;55.0
2025-05-08 15:02:03;19.15;0.5;631.93;21.9;0.0;55.5
2025-05-08 15:02:04;20.16;0.0;631.93;21.9;0.087890625;55.5
2025-05-08 15:02:05;21.17;0.0;631.93;21.9;0.1689453125;54.5
2025-05-08 15:02:06;22.18;0.0;631.93;21.9;0.0;55.5
2025-05-08 15:02:07;23.19;0.5;632.18;21.9;0.267578125;55.5
2025-05-08 15:02:08;24.2;0.0;632.18;21.9;1.64453125;54.5
2025-05-08 15:02:09;25.21;0.5;632.18;21.9;0.3896484375;55.5
2025-05-08 15:02:10;26.22;0.0;632.18;21.9;0.0;55.0
2025-05-08 15:02:11;27.23;0.0;632.33;21.9;0.23046875;55.5
2025-05-08 15:02:12;28.24;0.0;632.39;21.9;0.0;54.5
2025-05-08 15:02:13;29.25;0.0;632.39;21.9;0.0;56.4
2025-05-08 15:02:14;30.26;0.0;632.39;21.9;0.087890625;55.0
2025-05-08 15:02:15;31.27;0.0;632.39;21.9;0.0;55.0
2025-05-08 15:02:16;32.27;0.0;632.39;21.9;0.037109375;55.0
2025-05-08 15:02:17;33.28;0.0;632.39;21.9;0.0703125;55.5
2025-05-08 15:02:18;34.29;0.0;632.39;21.9;0.0;54.0
2025-05-08 15:02:19;35.3;0.0;632.64;21.9;0.087890625;55.5
2025-05-08 15:02:20;36.31;0.5;632.64;21.9;0.30078125;54.5
2025-05-08 15:02:21;37.32;0.0;632.64;21.9;1.4140625;54.5
2025-05-08 15:02:22;38.33;0.5;632.64;21.9;0.0;55.5
2025-05-08 15:02:23;39.34;0.0;632.64;21.9;0.0;55.0
2025-05-08 15:02:24;40.35;0.5;632.64;21.9;0.6484375;55.0
2025-05-08 15:02:25;41.36;0.0;632.64;21.9;0.267578125;55.0
2025-05-08 15:02:26;42.37;0.0;632.64;21.9;0.267578125;55.0
2025-05-08 15:02:27;43.38;0.0;632.76;21.9;0.0;54.5
2025-05-08 15:02:28;44.39;11.2;632.91;22.2;0.0;54.5
2025-05-08 15:02:29;45.4;3.0;632.91;22.2;0.193359375;54.5
2025-05-08 15:02:30;46.41;3.5;632.91;22.2;0.125;54.5
2025-05-08 15:02:31;47.42;0.5;633.97;22.2;0.0;55.0
2025-05-08 15:02:32;48.43;0.0;634.48;22.2;0.0;55.0
2025-05-08 15:02:33;49.44;4.0;634.47;22.2;0.419921875;55.0
2025-05-08 15:02:34;50.45;0.0;634.47;22.2;1.4140625;54.0
