Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-04-20 21:13:25;0.0;2.38;0.63;3.13
2025-04-20 21:13:26;0.83;2.39;0.58;2.89
2025-04-20 21:13:27;1.93;2.39;0.58;2.88
2025-04-20 21:13:28;3.03;2.39;0.61;3.03
2025-04-20 21:13:29;4.14;2.41;0.50;2.48
2025-04-20 21:13:31;5.24;2.41;0.48;2.39
2025-04-20 21:13:32;6.34;2.40;0.55;2.73
2025-04-20 21:13:33;7.44;2.41;0.51;2.54
2025-04-20 21:13:34;8.54;2.41;0.50;2.51
2025-04-20 21:13:35;9.65;2.41;0.51;2.54
2025-04-20 21:13:36;10.75;2.40;0.55;2.76
2025-04-20 21:13:37;11.85;2.38;0.64;3.21
2025-04-20 21:13:38;12.95;2.39;0.61;3.05
2025-04-20 21:13:39;14.05;2.40;0.54;2.72
2025-04-20 21:13:41;15.15;2.39;0.60;3.00
2025-04-20 21:13:42;16.26;2.40;0.55;2.73
2025-04-20 21:13:43;17.36;2.40;0.56;2.79
2025-04-20 21:13:44;18.46;2.41;0.47;2.34
2025-04-20 21:13:45;19.56;2.40;0.53;2.67
2025-04-20 21:13:46;20.66;2.41;0.50;2.48
2025-04-20 21:13:47;21.76;2.41;0.51;2.56
2025-04-20 21:13:48;22.87;2.40;0.53;2.67
2025-04-20 21:13:49;23.97;2.40;0.52;2.60
2025-04-20 21:13:50;25.07;2.41;0.49;2.46
2025-04-20 21:13:52;26.17;2.40;0.52;2.59
2025-04-20 21:13:53;27.27;2.40;0.53;2.64
2025-04-20 21:13:54;28.37;2.37;0.72;3.61
2025-04-20 21:13:55;29.47;2.38;0.67;3.33
2025-04-20 21:13:56;30.58;2.39;0.62;3.10
2025-04-20 21:13:57;31.68;2.36;0.76;3.78
2025-04-20 21:13:58;32.78;2.37;0.73;3.65
2025-04-20 21:13:59;33.88;2.39;0.60;3.00
2025-04-20 21:14:00;34.98;2.39;0.58;2.89
2025-04-20 21:14:01;36.08;2.40;0.55;2.73
2025-04-20 21:14:03;37.19;2.39;0.58;2.92
2025-04-20 21:14:04;38.29;2.41;0.51;2.56
2025-04-20 21:14:05;39.39;2.41;0.50;2.52
2025-04-20 21:14:06;40.49;2.41;0.49;2.44
2025-04-20 21:14:07;41.59;2.41;0.48;2.39
2025-04-20 21:14:08;42.7;2.40;0.52;2.62
2025-04-20 21:14:09;43.8;2.40;0.52;2.60
2025-04-20 21:14:10;44.9;2.40;0.52;2.59
2025-04-20 21:14:11;46.0;2.40;0.53;2.63
2025-04-20 21:14:12;47.1;2.41;0.48;2.42
2025-04-20 21:14:14;48.2;2.41;0.48;2.38
2025-04-20 21:14:15;49.31;2.41;0.48;2.40
2025-04-20 21:14:16;50.41;2.41;0.50;2.52
2025-04-20 21:14:17;51.51;2.40;0.54;2.71
2025-04-20 21:14:18;52.61;2.39;0.58;2.89
2025-04-20 21:14:19;53.71;2.40;0.52;2.58
2025-04-20 21:14:20;54.81;2.40;0.54;2.68
2025-04-20 21:14:21;55.92;2.40;0.52;2.58
2025-04-20 21:14:22;57.02;2.40;0.54;2.69
2025-04-20 21:14:23;58.12;2.39;0.59;2.95
2025-04-20 21:14:25;59.22;2.40;0.53;2.64
2025-04-20 21:14:26;60.32;2.41;0.51;2.55
2025-04-20 21:14:27;61.43;2.35;0.80;4.00
2025-04-20 21:14:28;62.53;2.36;0.75;3.74
2025-04-20 21:14:29;63.63;2.36;0.78;3.88
2025-04-20 21:14:30;64.73;2.37;0.70;3.51
2025-04-20 21:14:31;65.83;2.36;0.78;3.91
2025-04-20 21:14:32;66.93;2.39;0.59;2.96
2025-04-20 21:14:33;68.04;2.39;0.62;3.08
