Horodatage;Temps relatif (s);CPU (%);RAM (Mo);RAM (%);Lecture disque (Mo/s);Ecriture disque (Mo/s);Réseau (Ko/s);Température (°C);Fichiers chiffrés;Disque chiffré (%);Taille fichiers chiffres (Mo);Vitesse chiffrement (o/s)
20/04/2025 21:13;0.0;0.0;579.18;20.2;0.0;0.0;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;1.02;0.0;579.91;20.2;0.0;0.04;0;55.5;0;0.0;0.0;0
20/04/2025 21:13;2.05;0.0;579.91;20.2;0.0;0.0;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;3.07;0.0;579.91;20.2;0.0;0.0;0;56.0;0;0.0;0.0;0
20/04/2025 21:13;4.09;0.0;579.91;20.2;0.0;0.07;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;5.11;0.0;580.15;20.2;0.0;0.0;0;55.5;0;0.0;0.0;0
20/04/2025 21:13;6.17;0.0;580.15;20.2;0.0;0.0;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;7.22;0.0;580.3;20.2;0.0;0.03;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;8.27;0.5;580.39;20.2;0.0;0.0;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;9.32;0.0;580.64;20.2;0.0;0.06;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;10.37;0.0;580.63;20.2;0.0;0.0;0;53.5;0;0.0;0.0;0
20/04/2025 21:13;11.42;0.5;580.88;20.2;0.0;0.0;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;12.47;0.0;580.88;20.2;0.0;0.02;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;13.52;0.0;580.87;20.2;0.0;0.0;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;14.57;0.0;580.87;20.2;0.0;0.0;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;15.63;0.0;580.87;20.2;0.0;0.1;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;16.68;0.0;580.87;20.2;0.0;0.0;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;17.73;0.0;580.87;20.2;0.0;0.0;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;18.78;0.5;580.86;20.2;0.0;0.04;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;19.83;0.0;580.52;20.2;0.0;0.0;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;20.88;0.0;580.77;20.2;0.0;0.06;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;21.93;0.0;580.77;20.2;0.0;0.0;0;53.5;0;0.0;0.0;0
20/04/2025 21:13;22.99;0.0;580.77;20.2;0.0;0.0;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;24.04;0.0;580.52;20.2;0.0;0.0;0;55.0;0;0.0;0.0;0
20/04/2025 21:13;25.09;0.0;580.52;20.2;0.0;0.0;0;54.0;0;0.0;0.0;0
20/04/2025 21:13;26.14;0.0;580.27;20.2;0.0;0.12;0;54.5;0;0.0;0.0;0
20/04/2025 21:13;27.19;0.0;580.27;20.2;0.0;0.0;0;54.5;0;0.0;0.0;0
