Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-05-04 19:55:37;0.0;2.38;0.66;3.29
2025-05-04 19:55:38;0.83;2.36;0.75;3.73
2025-05-04 19:55:39;1.93;2.36;0.78;3.90
2025-05-04 19:55:40;3.04;2.35;0.79;3.96
2025-05-04 19:55:41;4.14;2.37;0.69;3.46
2025-05-04 19:55:42;5.24;2.37;0.70;3.51
2025-05-04 19:55:43;6.34;2.38;0.64;3.21
2025-05-04 19:55:45;7.44;2.39;0.60;3.01
2025-05-04 19:55:46;8.54;2.40;0.56;2.80
2025-05-04 19:55:47;9.65;2.39;0.60;3.00
2025-05-04 19:55:48;10.75;2.39;0.62;3.08
2025-05-04 19:55:49;11.85;2.39;0.58;2.88
2025-05-04 19:55:50;12.95;2.39;0.58;2.89
2025-05-04 19:55:51;14.05;2.39;0.61;3.05
2025-05-04 19:55:52;15.16;2.38;0.65;3.26
2025-05-04 19:55:53;16.26;2.39;0.62;3.09
2025-05-04 19:55:54;17.36;2.38;0.64;3.22
2025-05-04 19:55:56;18.46;2.39;0.61;3.03
2025-05-04 19:55:57;19.56;2.39;0.62;3.09
2025-05-04 19:55:58;20.66;2.38;0.67;3.36
2025-05-04 19:55:59;21.77;2.38;0.66;3.30
2025-05-04 19:56:00;22.87;2.38;0.63;3.17
2025-05-04 19:56:01;23.97;2.39;0.62;3.08
2025-05-04 19:56:02;25.07;2.38;0.63;3.14
2025-05-04 19:56:03;26.17;2.37;0.69;3.46
2025-05-04 19:56:04;27.27;2.38;0.63;3.17
2025-05-04 19:56:06;28.38;2.39;0.58;2.92
2025-05-04 19:56:07;29.48;2.37;0.71;3.57
2025-05-04 19:56:08;30.58;2.37;0.71;3.55
2025-05-04 19:56:09;31.68;2.39;0.61;3.03
2025-05-04 19:56:10;32.78;2.39;0.59;2.93
2025-05-04 19:56:11;33.88;2.37;0.68;3.38
2025-05-04 19:56:12;34.99;2.37;0.68;3.42
2025-05-04 19:56:13;36.09;2.39;0.62;3.09
2025-05-04 19:56:14;37.19;2.39;0.60;2.99
2025-05-04 19:56:15;38.29;2.40;0.56;2.81
2025-05-04 19:56:17;39.39;2.38;0.63;3.13
2025-05-04 19:56:18;40.5;2.38;0.64;3.20
2025-05-04 19:56:19;41.6;2.36;0.75;3.73
2025-05-04 19:56:20;42.7;2.37;0.72;3.58
2025-05-04 19:56:21;43.8;2.37;0.68;3.42
2025-05-04 19:56:22;44.9;2.37;0.69;3.47
2025-05-04 19:56:23;46.0;2.39;0.61;3.05
2025-05-04 19:56:24;47.11;2.39;0.59;2.93
2025-05-04 19:56:25;48.21;2.39;0.58;2.88
2025-05-04 19:56:26;49.31;2.38;0.65;3.24
2025-05-04 19:56:28;50.41;2.39;0.57;2.85
2025-05-04 19:56:29;51.51;2.39;0.60;3.00
2025-05-04 19:56:30;52.62;2.39;0.58;2.91
2025-05-04 19:56:31;53.72;2.39;0.60;3.01
2025-05-04 19:56:32;54.82;2.38;0.66;3.30
2025-05-04 19:56:33;55.92;2.39;0.58;2.89
2025-05-04 19:56:34;57.02;2.38;0.63;3.14
2025-05-04 19:56:35;58.12;2.40;0.55;2.77
2025-05-04 19:56:36;59.23;2.39;0.58;2.89
2025-05-04 19:56:37;60.33;2.38;0.63;3.16
2025-05-04 19:56:39;61.43;2.38;0.67;3.34
2025-05-04 19:56:40;62.53;2.39;0.62;3.10
2025-05-04 19:56:41;63.63;2.40;0.56;2.79
2025-05-04 19:56:42;64.74;2.39;0.61;3.05
2025-05-04 19:56:43;65.84;2.38;0.63;3.17
2025-05-04 19:56:44;66.94;2.37;0.69;3.47
2025-05-04 19:56:45;68.04;2.37;0.71;3.55
2025-05-04 19:56:46;69.14;2.38;0.63;3.17
2025-05-04 19:56:47;70.24;2.39;0.59;2.93
2025-05-04 19:56:48;71.35;2.38;0.62;3.12
2025-05-04 19:56:50;72.45;2.39;0.62;3.08
2025-05-04 19:56:51;73.55;2.37;0.71;3.53
2025-05-04 19:56:52;74.65;2.38;0.63;3.13
2025-05-04 19:56:53;75.75;2.39;0.62;3.09
2025-05-04 19:56:54;76.86;2.39;0.59;2.95
2025-05-04 19:56:55;77.96;2.39;0.59;2.93
2025-05-04 19:56:56;79.06;2.39;0.62;3.09
2025-05-04 19:56:57;80.16;2.38;0.65;3.25
2025-05-04 19:56:58;81.26;2.37;0.73;3.63
2025-05-04 19:56:59;82.36;2.38;0.66;3.32
2025-05-04 19:57:01;83.47;2.38;0.63;3.14
2025-05-04 19:57:02;84.57;2.40;0.56;2.79
2025-05-04 19:57:03;85.67;2.39;0.61;3.03
2025-05-04 19:57:04;86.77;2.39;0.59;2.96
2025-05-04 19:57:05;87.87;2.38;0.66;3.32
2025-05-04 19:57:06;88.97;2.37;0.70;3.51
2025-05-04 19:57:07;90.07;2.38;0.66;3.30
2025-05-04 19:57:08;91.17;2.36;0.75;3.73
2025-05-04 19:57:09;92.28;2.38;0.66;3.30
2025-05-04 19:57:11;93.38;2.38;0.62;3.12
2025-05-04 19:57:12;94.48;2.39;0.61;3.03
2025-05-04 19:57:13;95.58;2.39;0.62;3.10
2025-05-04 19:57:14;96.68;2.38;0.65;3.26
2025-05-04 19:57:15;97.79;2.39;0.62;3.08
2025-05-04 19:57:16;98.89;2.38;0.65;3.26
2025-05-04 19:57:17;99.99;2.38;0.66;3.29
2025-05-04 19:57:18;101.09;2.38;0.65;3.26
2025-05-04 19:57:19;102.19;2.37;0.70;3.49
2025-05-04 19:57:20;103.29;2.38;0.66;3.30
2025-05-04 19:57:22;104.4;2.39;0.57;2.84
2025-05-04 19:57:23;105.5;2.39;0.60;2.99
2025-05-04 19:57:24;106.6;2.40;0.56;2.80
2025-05-04 19:57:25;107.7;2.38;0.64;3.21
2025-05-04 19:57:26;108.8;2.39;0.62;3.09
2025-05-04 19:57:27;109.91;2.40;0.55;2.73
2025-05-04 19:57:28;111.01;2.39;0.62;3.09
2025-05-04 19:57:29;112.11;2.39;0.60;3.00
2025-05-04 19:57:30;113.21;2.39;0.61;3.06
2025-05-04 19:57:31;114.31;2.38;0.64;3.22
2025-05-04 19:57:33;115.41;2.38;0.67;3.34
2025-05-04 19:57:34;116.52;2.38;0.66;3.30
2025-05-04 19:57:35;117.62;2.38;0.66;3.30
2025-05-04 19:57:36;118.72;2.38;0.64;3.21
2025-05-04 19:57:37;119.82;2.37;0.73;3.65
2025-05-04 19:57:38;120.92;2.36;0.76;3.82
2025-05-04 19:57:39;122.02;2.37;0.70;3.50
2025-05-04 19:57:40;123.13;2.36;0.76;3.80
2025-05-04 19:57:41;124.23;2.35;0.81;4.06
2025-05-04 19:57:42;125.33;2.36;0.73;3.66
2025-05-04 19:57:44;126.43;2.37;0.70;3.51
2025-05-04 19:57:45;127.53;2.39;0.62;3.08
2025-05-04 19:57:46;128.64;2.40;0.55;2.75
2025-05-04 19:57:47;129.74;2.39;0.58;2.89
2025-05-04 19:57:48;130.84;2.40;0.57;2.83
2025-05-04 19:57:49;131.94;2.40;0.57;2.83
2025-05-04 19:57:50;133.04;2.40;0.54;2.68
2025-05-04 19:57:51;134.14;2.39;0.62;3.08
2025-05-04 19:57:52;135.25;2.37;0.68;3.39
2025-05-04 19:57:53;136.35;2.37;0.69;3.43
2025-05-04 19:57:55;137.45;2.37;0.69;3.45
2025-05-04 19:57:56;138.55;2.38;0.64;3.21
2025-05-04 19:57:57;139.65;2.38;0.65;3.25
2025-05-04 19:57:58;140.75;2.38;0.67;3.37
2025-05-04 19:57:59;141.86;2.37;0.71;3.53
2025-05-04 19:58:00;142.96;2.39;0.61;3.04
2025-05-04 19:58:01;144.06;2.38;0.67;3.34
2025-05-04 19:58:02;145.16;2.38;0.64;3.21
2025-05-04 19:58:03;146.26;2.39;0.62;3.10
