Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-03-30 19:55/44;0.0;2.36;0.73;3.67
2025-03-30 19:55/45;0.83;2.35;0.82;4.08
2025-03-30 19:55/46;1.93;2.36;0.76;3.82
2025-03-30 19:55/47;3.04;2.36;0.74;3.71
2025-03-30 19:55/48;4.14;2.35;0.80;4.02
2025-03-30 19:55/49;5.24;2.36;0.74;3.71
2025-03-30 19:55/50;6.34;2.37;0.69;3.46
2025-03-30 19:55/51;7.44;2.37;0.68;3.42
2025-03-30 19:55/52;8.55;2.39;0.59;2.93
2025-03-30 19:55/54;9.65;2.38;0.63;3.16
2025-03-30 19:55/55;10.75;2.38;0.63;3.17
2025-03-30 19:55/56;11.85;2.38;0.67;3.37
2025-03-30 19:55/57;12.95;2.38;0.66;3.32
2025-03-30 19:55/58;14.05;2.38;0.63;3.16
2025-03-30 19:55/59;15.15;2.38;0.66;3.32
2025-03-30 19:56/00;16.25;2.37;0.70;3.49
2025-03-30 19:56/01;17.36;2.38;0.66;3.28
2025-03-30 19:56/02;18.46;2.39;0.61;3.03
2025-03-30 19:56/03;19.56;2.38;0.62;3.12
2025-03-30 19:56/05;20.66;2.38;0.66;3.32
2025-03-30 19:56/06;21.76;2.37;0.69;3.47
2025-03-30 19:56/07;22.86;2.39;0.59;2.93
2025-03-30 19:56/08;23.97;2.39;0.58;2.88
2025-03-30 19:56/09;25.07;2.38;0.65;3.26
2025-03-30 19:56/10;26.17;2.37;0.69;3.47
2025-03-30 19:56/11;27.27;2.39;0.58;2.89
2025-03-30 19:56/12;28.37;2.39;0.59;2.97
2025-03-30 19:56/13;29.47;2.37;0.68;3.39
2025-03-30 19:56/14;30.58;2.39;0.62;3.08
2025-03-30 19:56/16;31.68;2.38;0.63;3.14
2025-03-30 19:56/17;32.78;2.38;0.63;3.13
2025-03-30 19:56/18;33.88;2.37;0.71;3.54
2025-03-30 19:56/19;34.98;2.37;0.70;3.49
2025-03-30 19:56/20;36.09;2.39;0.57;2.84
2025-03-30 19:56/21;37.19;2.37;0.69;3.46
2025-03-30 19:56/22;38.29;2.37;0.72;3.59
2025-03-30 19:56/23;39.39;2.37;0.72;3.59
2025-03-30 19:56/24;40.49;2.38;0.64;3.21
2025-03-30 19:56/25;41.6;2.40;0.54;2.71
2025-03-30 19:56/27;42.7;2.38;0.62;3.12
2025-03-30 19:56/28;43.8;2.39;0.59;2.95
2025-03-30 19:56/29;44.9;2.39;0.60;2.99
2025-03-30 19:56/30;46.0;2.39;0.61;3.04
2025-03-30 19:56/31;47.1;2.39;0.62;3.08
2025-03-30 19:56/32;48.21;2.37;0.72;3.62
2025-03-30 19:56/33;49.31;2.37;0.69;3.47
2025-03-30 19:56/34;50.41;2.39;0.60;3.00
2025-03-30 19:56/35;51.51;2.37;0.72;3.58
2025-03-30 19:56/36;52.61;2.40;0.54;2.68
2025-03-30 19:56/38;53.71;2.39;0.61;3.04
2025-03-30 19:56/39;54.82;2.39;0.59;2.93
2025-03-30 19:56/40;55.92;2.39;0.62;3.09
2025-03-30 19:56/41;57.02;2.38;0.63;3.14
2025-03-30 19:56/42;58.12;2.40;0.52;2.60
2025-03-30 19:56/43;59.22;2.37;0.68;3.41
2025-03-30 19:56/44;60.33;2.37;0.70;3.50
2025-03-30 19:56/45;61.43;2.39;0.60;2.99
2025-03-30 19:56/46;62.53;2.38;0.63;3.16
