Horodatage;Temps relatif (s);CPU (%);RAM (Mo);RAM (%);Lecture disque (Mo/s);Ecriture disque (Mo/s);Réseau (Ko/s);Température (°C);Fichiers chiffrés;Disque chiffré (%);Vitesse chiffrement (o/s)
30/03/2025 19:55;0.0;0.5;629.86;21.3;0.0;0.0;0.0;57.9;0;0.0;0
30/03/2025 19:55;1.1;0.0;631.61;21.3;0.0;0.0;0.0;57.9;0;0.0;0
30/03/2025 19:55;2.19;0.0;631.55;21.3;0.0;0.02;0.0;58.9;0;0.0;0
30/03/2025 19:55;3.29;0.0;631.77;21.3;0.0;0.0;0.0;58.4;0;0.0;0
30/03/2025 19:55;4.38;0.0;632.01;21.4;0.0;0.03;0.0;59.9;0;0.0;0
30/03/2025 19:55;5.54;0.0;632.01;21.3;0.0;0.0;0.0;58.9;0;0.0;0
30/03/2025 19:55;6.63;0.0;632.01;21.3;0.0;0.0;0.0;58.4;0;0.0;0
30/03/2025 19:55;7.72;0.0;632.01;21.3;0.0;0.03;0.0;59.4;0;0.0;0
30/03/2025 19:55;8.82;0.0;632.01;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:55;9.91;0.0;632.26;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:55;11.08;0.0;632.0;21.3;0.0;0.01;0.0;59.4;0;0.0;0
30/03/2025 19:55;12.17;0.0;632.0;21.3;0.0;0.0;0.0;58.9;0;0.0;0
30/03/2025 19:55;13.27;0.0;632.25;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:55;14.36;0.5;632.25;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:55;15.46;0.0;632.25;21.4;0.0;0.01;0.0;58.9;0;0.0;0
30/03/2025 19:55;16.62;0.0;632.25;21.4;0.0;0.0;0.0;60.3;0;0.0;0
30/03/2025 19:56;17.71;0.0;632.5;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;18.81;0.0;632.25;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;19.9;0.0;632.5;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;21.0;0.5;632.5;21.4;0.0;0.02;0.0;59.4;0;0.0;0
30/03/2025 19:56;22.16;0.0;632.24;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;23.26;0.0;632.49;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;24.35;0.5;632.24;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;25.45;0.0;632.24;21.4;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;26.54;1.0;632.1;21.4;0.0;0.01;0.0;58.9;0;0.0;0
30/03/2025 19:56;27.71;0.0;631.99;21.3;0.0;0.01;0.0;59.9;0;0.0;0
30/03/2025 19:56;28.8;0.0;631.99;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;29.9;0.0;631.99;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;30.99;0.0;629.23;21.3;0.0;0.09;0.0;59.4;0;0.0;0
30/03/2025 19:56;32.09;0.0;629.96;21.3;0.0;0.0;0.0;60.3;0;0.0;0
30/03/2025 19:56;33.25;0.0;630.18;21.3;0.0;0.0;0.0;60.8;0;0.0;0
30/03/2025 19:56;34.34;0.0;630.43;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;35.44;14.1;630.39;21.3;0.0;0.0;0.0;60.8;0;0.0;0
30/03/2025 19:56;36.54;0.0;630.39;21.3;0.0;0.01;0.0;59.9;0;0.0;0
30/03/2025 19:56;37.63;0.0;630.39;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;38.79;0.0;630.65;21.3;0.0;0.0;0.0;59.9;0;0.0;0
30/03/2025 19:56;39.89;0.0;630.65;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;40.98;0.0;630.65;21.3;0.0;0.0;0.0;59.9;0;0.0;0
30/03/2025 19:56;42.08;0.0;630.65;21.3;0.0;0.0;0.0;60.8;0;0.0;0
30/03/2025 19:56;43.17;0.0;630.65;21.3;0.0;0.0;0.0;60.8;0;0.0;0
30/03/2025 19:56;44.34;0.0;630.41;21.3;0.0;0.0;0.0;59.9;0;0.0;0
30/03/2025 19:56;45.43;0.0;630.41;21.3;0.0;0.0;0.0;59.9;0;0.0;0
30/03/2025 19:56;46.53;0.0;630.41;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;47.62;0.0;630.41;21.3;0.0;0.0;0.0;59.4;0;0.0;0
30/03/2025 19:56;48.72;0.0;630.41;21.3;0.0;0.0;0.0;58.4;0;0.0;0
30/03/2025 19:56;49.88;0.0;630.41;21.3;0.0;0.0;0.0;59.4;0;0.0;0
