Horodatage;Temps relatif (s);CPU (%);RAM (Mo);RAM (%);Lecture disque (Mo/s);Ecriture disque (Mo/s);Réseau (Ko/s);Température (°C);Fichiers chiffrés;Disque chiffré (%);Taille fichiers chiffres (Mo);Vitesse chiffrement (o/s)
13/04/2025 21:14;0.0;0.0;629.64;21.5;0.0;0.0;0.0;57.9;0;0.0;0.0;0
13/04/2025 21:14;1.1;0.0;631.11;21.6;0.0;0.03;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;2.19;0.0;631.36;21.6;0.0;0.0;0.0;57.9;0;0.0;0.0;0
13/04/2025 21:14;3.29;0.0;631.36;21.6;0.0;0.0;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;4.38;0.0;631.6;21.6;0.0;0.04;0.0;57.9;0;0.0;0.0;0
13/04/2025 21:14;5.5;0.0;629.63;21.5;0.0;0.0;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;6.66;0.0;629.63;21.5;0.0;0.0;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;7.75;0.0;629.88;21.5;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;8.85;0.0;630.12;21.5;0.0;0.0;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;9.94;0.0;630.12;21.5;0.0;0.06;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;11.04;0.0;630.11;21.5;0.0;0.02;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;12.19;0.0;630.11;21.5;0.0;0.0;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;13.28;0.0;630.11;21.5;0.0;0.0;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;14.38;0.0;630.11;21.5;0.0;0.0;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;15.47;0.0;630.11;21.5;0.0;0.02;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;16.57;0.0;630.11;21.5;0.0;0.0;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;17.73;0.0;630.1;21.5;0.0;0.01;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;18.83;0.0;630.1;21.5;0.0;0.0;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;19.92;0.0;630.1;21.5;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;21.02;0.0;630.1;21.5;0.0;0.03;0.0;58.4;0;0.0;0.0;0
13/04/2025 21:14;22.11;0.5;630.1;21.5;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;23.27;0.0;630.1;21.5;0.0;0.0;0.0;60.3;0;0.0;0.0;0
13/04/2025 21:14;24.37;0.0;630.09;21.5;0.0;0.01;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;25.47;0.0;630.09;21.5;0.0;0.0;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;26.56;0.0;630.09;21.5;0.0;0.04;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;27.66;0.0;630.09;21.5;0.0;0.0;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;28.82;0.0;630.34;21.5;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;29.91;0.0;630.59;21.5;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;31.01;0.0;630.59;21.5;0.0;0.0;0.0;59.9;0;0.0;0.0;0
13/04/2025 21:14;32.1;0.0;630.83;21.6;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;33.2;0.0;630.82;21.6;0.0;0.03;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;34.37;0.0;630.82;21.6;0.0;0.0;0.0;60.3;0;0.0;0.0;0
13/04/2025 21:14;35.46;0.0;630.82;21.6;0.0;0.0;0.0;59.4;0;0.0;0.0;0
13/04/2025 21:14;36.56;0.0;630.82;21.6;0.0;0.0;0.0;58.9;0;0.0;0.0;0
13/04/2025 21:14;37.65;0.0;630.82;21.6;0.0;0.0;0.0;58.9;0;0.0;0.0;0
